기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2020.2/4	합계	합계	계	9,985,652	292,868	367,054	374,594	435,678	679,209	853,920	758,324	791,034	744,652	843,017	807,516	782,265	720,564	517,488	397,583	301,837	184,459	85,574	32,377	9,083	6,556
2020.2/4	합계	합계	한국인	9,720,846	285,920	360,318	370,357	430,020	642,527	822,973	729,356	767,508	725,682	821,942	781,385	750,956	704,561	512,957	395,923	301,176	184,046	85,359	32,294	9,052	6,534
2020.2/4	합계	합계	외국인	264,806	6,948	6,736	4,237	5,658	36,682	30,947	28,968	23,526	18,970	21,075	26,131	31,309	16,003	4,531	1,660	661	413	215	83	31	22
2020.2/4	종로구	소계	계	160,520	3,468	4,717	5,202	6,716	14,092	14,168	10,999	10,720	10,498	13,253	13,428	13,379	11,677	8,373	6,742	5,935	3,904	1,927	772	283	267
2020.2/4	종로구	소계	한국인	150,383	3,346	4,550	5,091	6,218	10,710	12,736	10,106	10,040	9,888	12,753	12,886	12,776	11,297	8,259	6,681	5,914	3,892	1,920	770	283	267
2020.2/4	종로구	소계	외국인	10,137	122	167	111	498	3,382	1,432	893	680	610	500	542	603	380	114	61	21	12	7	2	-	-
2020.2/4	종로구	사직동	계	9,787	240	368	347	357	519	760	733	763	729	829	805	783	718	485	397	384	297	163	71	20	19
2020.2/4	종로구	사직동	한국인	9,506	234	358	340	350	508	743	696	715	686	804	786	763	702	479	392	383	295	162	71	20	19
2020.2/4	종로구	사직동	외국인	281	6	10	7	7	11	17	37	48	43	25	19	20	16	6	5	1	2	1	-	-	-
2020.2/4	종로구	삼청동	계	2,973	57	82	122	115	159	191	193	233	221	207	215	238	257	190	166	133	98	58	23	7	8
2020.2/4	종로구	삼청동	한국인	2,707	45	60	104	101	155	188	171	200	183	186	203	224	228	178	158	132	96	57	23	7	8
2020.2/4	종로구	삼청동	외국인	266	12	22	18	14	4	3	22	33	38	21	12	14	29	12	8	1	2	1	-	-	-
2020.2/4	종로구	부암동	계	10,421	225	363	442	499	735	791	686	680	730	963	904	829	772	515	456	353	262	128	55	22	11
2020.2/4	종로구	부암동	한국인	10,050	224	363	441	494	654	723	588	627	701	956	895	821	769	512	452	353	262	128	54	22	11
2020.2/4	종로구	부암동	외국인	371	1	-	1	5	81	68	98	53	29	7	9	8	3	3	4	-	-	-	1	-	-
2020.2/4	종로구	평창동	계	18,696	500	708	717	948	1,214	1,309	1,055	1,232	1,227	1,607	1,702	1,661	1,454	1,011	753	660	476	281	114	42	25
2020.2/4	종로구	평창동	한국인	18,519	498	701	713	945	1,210	1,299	1,038	1,208	1,208	1,593	1,684	1,641	1,434	1,003	751	658	474	280	114	42	25
2020.2/4	종로구	평창동	외국인	177	2	7	4	3	4	10	17	24	19	14	18	20	20	8	2	2	2	1	-	-	-
2020.2/4	종로구	무악동	계	8,691	294	436	484	541	482	467	419	565	684	898	726	685	564	426	358	294	210	92	38	11	17
2020.2/4	종로구	무악동	한국인	8,645	292	433	483	540	480	464	412	562	682	886	722	680	563	426	358	294	210	92	38	11	17
2020.2/4	종로구	무악동	외국인	46	2	3	1	1	2	3	7	3	2	12	4	5	1	-	-	-	-	-	-	-	-
2020.2/4	종로구	교남동	계	10,686	443	464	437	435	578	729	868	972	856	1,021	863	765	655	483	408	329	222	94	35	14	15
2020.2/4	종로구	교남동	한국인	10,534	439	460	429	431	572	720	847	947	840	1,009	847	755	645	481	405	328	222	94	34	14	15
2020.2/4	종로구	교남동	외국인	152	4	4	8	4	6	9	21	25	16	12	16	10	10	2	3	1	-	-	1	-	-
2020.2/4	종로구	가회동	계	4,453	80	138	170	178	234	264	269	333	359	436	388	336	336	267	233	215	109	61	30	7	10
2020.2/4	종로구	가회동	한국인	4,354	79	138	169	176	230	261	257	323	343	424	376	326	326	262	232	215	109	61	30	7	10
2020.2/4	종로구	가회동	외국인	99	1	-	1	2	4	3	12	10	16	12	12	10	10	5	1	-	-	-	-	-	-
2020.2/4	종로구	종로1.2.3.4가동	계	8,526	127	148	120	175	465	631	612	596	556	688	698	885	840	629	462	400	231	133	59	32	39
2020.2/4	종로구	종로1.2.3.4가동	한국인	7,248	97	99	95	124	338	504	460	462	396	557	591	797	789	606	447	394	230	132	59	32	39
2020.2/4	종로구	종로1.2.3.4가동	외국인	1,278	30	49	25	51	127	127	152	134	160	131	107	88	51	23	15	6	1	1	-	-	-
2020.2/4	종로구	종로5·6가동	계	5,800	60	66	93	180	578	787	456	305	286	385	499	518	452	346	293	247	141	60	29	10	9
2020.2/4	종로구	종로5·6가동	한국인	5,323	54	63	84	154	428	689	410	282	257	366	482	493	431	342	293	247	141	59	29	10	9
2020.2/4	종로구	종로5·6가동	외국인	477	6	3	9	26	150	98	46	23	29	19	17	25	21	4	-	-	-	1	-	-	-
2020.2/4	종로구	이화동	계	8,336	125	154	203	302	897	1,164	814	550	476	594	554	601	502	422	314	298	201	104	34	14	13
2020.2/4	종로구	이화동	한국인	7,774	118	149	203	252	641	1,067	757	521	459	585	543	586	498	417	314	298	201	104	34	14	13
2020.2/4	종로구	이화동	외국인	562	7	5	-	50	256	97	57	29	17	9	11	15	4	5	-	-	-	-	-	-	-
2020.2/4	종로구	창신1동	계	6,016	76	95	97	178	483	447	328	314	308	453	626	737	629	422	291	269	156	53	33	12	9
2020.2/4	종로구	창신1동	한국인	5,162	68	81	92	152	273	343	255	261	266	398	529	629	580	414	290	269	156	52	33	12	9
2020.2/4	종로구	창신1동	외국인	854	8	14	5	26	210	104	73	53	42	55	97	108	49	8	1	-	-	1	-	-	-
2020.2/4	종로구	창신2동	계	9,654	129	157	200	371	868	782	586	505	504	806	1,026	1,087	882	546	452	384	214	94	39	9	13
2020.2/4	종로구	창신2동	한국인	8,394	116	140	191	334	559	630	490	430	434	726	912	932	780	533	442	379	211	94	39	9	13
2020.2/4	종로구	창신2동	외국인	1,260	13	17	9	37	309	152	96	75	70	80	114	155	102	13	10	5	3	-	-	-	-
2020.2/4	종로구	창신3동	계	7,189	215	197	263	295	493	546	513	506	439	576	657	651	598	399	298	252	152	83	30	15	11
2020.2/4	종로구	창신3동	한국인	7,001	209	193	258	293	442	524	494	492	419	564	645	643	589	398	296	252	151	83	30	15	11
2020.2/4	종로구	창신3동	외국인	188	6	4	5	2	51	22	19	14	20	12	12	8	9	1	2	-	1	-	-	-	-
2020.2/4	종로구	숭인1동	계	6,494	134	195	186	213	419	487	442	483	444	579	582	634	504	390	278	257	154	69	25	10	9
2020.2/4	종로구	숭인1동	한국인	6,149	124	187	180	210	365	451	406	448	418	544	543	599	488	384	278	257	154	69	25	10	9
2020.2/4	종로구	숭인1동	외국인	345	10	8	6	3	54	36	36	35	26	35	39	35	16	6	-	-	-	-	-	-	-
2020.2/4	종로구	숭인2동	계	9,987	143	161	149	243	789	1,283	906	700	567	759	847	931	812	561	414	347	215	92	38	12	18
2020.2/4	종로구	숭인2동	한국인	9,540	136	154	147	233	686	1,199	863	661	546	734	817	884	793	554	412	347	214	92	38	12	18
2020.2/4	종로구	숭인2동	외국인	447	7	7	2	10	103	84	43	39	21	25	30	47	19	7	2	-	1	-	-	-	-
2020.2/4	종로구	청운효자동	계	12,855	361	521	594	633	837	838	814	962	1,074	1,164	1,126	910	801	589	539	493	345	160	50	25	19
2020.2/4	종로구	청운효자동	한국인	12,609	359	511	587	626	786	827	792	937	1,039	1,151	1,109	896	788	580	534	488	345	160	50	25	19
2020.2/4	종로구	청운효자동	외국인	246	2	10	7	7	51	11	22	25	35	13	17	14	13	9	5	5	-	-	-	-	-
2020.2/4	종로구	혜화동	계	19,956	259	464	578	1,053	4,342	2,692	1,305	1,021	1,038	1,288	1,210	1,128	901	692	630	620	421	202	69	21	22
2020.2/4	종로구	혜화동	한국인	16,868	254	460	575	803	2,383	2,104	1,170	964	1,011	1,270	1,202	1,107	894	690	627	620	421	201	69	21	22
2020.2/4	종로구	혜화동	외국인	3,088	5	4	3	250	1,959	588	135	57	27	18	8	21	7	2	3	-	-	1	-	-	-
2020.2/4	중구	소계	계	136,030	3,703	3,936	3,309	4,319	9,688	12,121	11,193	11,103	9,403	10,376	11,032	11,463	10,349	7,516	5,836	4,890	3,157	1,574	664	200	198
2020.2/4	중구	소계	한국인	126,092	3,449	3,648	3,108	4,023	7,784	10,781	10,186	10,207	8,717	9,671	10,339	10,600	9,884	7,344	5,761	4,840	3,135	1,560	660	198	197
2020.2/4	중구	소계	외국인	9,938	254	288	201	296	1,904	1,340	1,007	896	686	705	693	863	465	172	75	50	22	14	4	2	1
2020.2/4	중구	소공동	계	3,045	96	179	110	98	95	172	305	356	390	306	260	188	195	109	65	55	34	15	8	3	6
2020.2/4	중구	소공동	한국인	2,103	63	117	56	56	78	131	210	228	259	197	178	131	145	88	59	47	32	13	8	2	5
2020.2/4	중구	소공동	외국인	942	33	62	54	42	17	41	95	128	131	109	82	57	50	21	6	8	2	2	-	1	1
2020.2/4	중구	회현동	계	5,814	99	141	120	131	236	328	332	344	363	442	486	631	639	504	331	267	190	101	64	22	43
