기간	자치구	동	합계	합계	합계	장애정도별	장애정도별	장애정도별	장애정도별	장애정도별	장애정도별
기간	자치구	동	합계	합계	합계	심한 장애	심한 장애	심한 장애	심하지 않은 장애	심하지 않은 장애	심하지 않은 장애
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자
2019	합계	합계	394,843	228,821	166,022	149,906	89,940	59,966	244,937	138,881	106,056
2019	종로구	소계	6,068	3,515	2,553	2,255	1,360	895	3,813	2,155	1,658
2019	종로구	사직동	295	169	126	140	80	60	155	89	66
2019	종로구	삼청동	112	60	52	42	20	22	70	40	30
2019	종로구	부암동	316	179	137	125	71	54	191	108	83
2019	종로구	평창동	538	294	244	196	110	86	342	184	158
2019	종로구	무악동	337	184	153	128	79	49	209	105	104
2019	종로구	교남동	360	191	169	122	74	48	238	117	121
2019	종로구	가회동	179	94	85	74	34	40	105	60	45
2019	종로구	종로1.2.3.4가동	391	287	104	154	118	36	237	169	68
2019	종로구	종로5·6가동	270	177	93	88	60	28	182	117	65
2019	종로구	이화동	340	179	161	117	63	54	223	116	107
2019	종로구	창신1동	320	193	127	107	67	40	213	126	87
2019	종로구	창신2동	488	278	210	152	96	56	336	182	154
2019	종로구	창신3동	336	181	155	102	58	44	234	123	111
2019	종로구	숭인1동	286	151	135	88	48	40	198	103	95
2019	종로구	숭인2동	443	295	148	152	100	52	291	195	96
2019	종로구	청운효자동	480	259	221	235	134	101	245	125	120
2019	종로구	혜화동	576	343	233	232	147	85	344	196	148
2019	종로구	기타	1	1	-	1	1	-	-	-	-
2019	중구	소계	5,712	3,282	2,430	2,036	1,249	787	3,676	2,033	1,643
2019	중구	소공동	32	21	11	10	7	3	22	14	8
2019	중구	회현동	337	227	110	125	86	39	212	141	71
2019	중구	명동	128	67	61	48	28	20	80	39	41
2019	중구	필동	165	98	67	68	41	27	97	57	40
2019	중구	장충동	203	106	97	66	34	32	137	72	65
2019	중구	광희동	244	151	93	76	49	27	168	102	66
2019	중구	을지로동	86	62	24	23	13	10	63	49	14
2019	중구	신당5동	486	291	195	171	108	63	315	183	132
2019	중구	황학동	510	300	210	185	120	65	325	180	145
2019	중구	중림동	539	320	219	198	129	69	341	191	150
2019	중구	신당동	376	233	143	128	89	39	248	144	104
2019	중구	다산동	652	343	309	209	117	92	443	226	217
2019	중구	약수동	891	476	415	347	198	149	544	278	266
2019	중구	청구동	623	356	267	221	136	85	402	220	182
2019	중구	동화동	440	231	209	161	94	67	279	137	142
2019	용산구	소계	8,025	4,633	3,392	2,851	1,676	1,175	5,174	2,957	2,217
2019	용산구	후암동	779	435	344	318	172	146	461	263	198
2019	용산구	용산2가동	490	277	213	163	97	66	327	180	147
2019	용산구	남영동	572	447	125	221	165	56	351	282	69
2019	용산구	원효로2동	468	254	214	174	89	85	294	165	129
2019	용산구	효창동	345	182	163	105	64	41	240	118	122
2019	용산구	용문동	489	259	230	180	94	86	309	165	144
2019	용산구	이촌1동	530	308	222	205	116	89	325	192	133
2019	용산구	이촌2동	378	207	171	138	80	58	240	127	113
2019	용산구	이태원1동	236	131	105	89	56	33	147	75	72
2019	용산구	이태원2동	323	184	139	105	63	42	218	121	97
2019	용산구	서빙고동	393	217	176	153	88	65	240	129	111
2019	용산구	보광동	599	318	281	189	104	85	410	214	196
2019	용산구	청파동	822	489	333	295	181	114	527	308	219
2019	용산구	원효로1동	466	270	196	163	90	73	303	180	123
2019	용산구	한강로동	496	302	194	160	99	61	336	203	133
2019	용산구	한남동	639	353	286	193	118	75	446	235	211
2019	성동구	소계	11,686	6,772	4,914	4,100	2,508	1,592	7,586	4,264	3,322
2019	성동구	왕십리2동	663	365	298	219	136	83	444	229	215
2019	성동구	마장동	1,089	654	435	418	266	152	671	388	283
2019	성동구	사근동	387	206	181	127	75	52	260	131	129
2019	성동구	행당1동	633	364	269	216	134	82	417	230	187
2019	성동구	행당2동	918	504	414	338	189	149	580	315	265
2019	성동구	응봉동	539	299	240	180	110	70	359	189	170
2019	성동구	금호1가동	644	358	286	235	137	98	409	221	188
2019	성동구	금호4가동	530	300	230	175	108	67	355	192	163
2019	성동구	성수1가1동	607	373	234	237	162	75	370	211	159
2019	성동구	성수1가2동	541	303	238	166	92	74	375	211	164
2019	성동구	성수2가1동	839	521	318	273	160	113	566	361	205
2019	성동구	성수2가3동	422	256	166	149	92	57	273	164	109
2019	성동구	송정동	539	325	214	183	120	63	356	205	151
2019	성동구	용답동	673	440	233	252	177	75	421	263	158
2019	성동구	왕십리도선동	993	573	420	369	215	154	624	358	266
2019	성동구	금호2.3가동	946	529	417	297	180	117	649	349	300
2019	성동구	옥수동	723	402	321	266	155	111	457	247	210
2019	광진구	소계	12,563	7,319	5,244	4,492	2,696	1,796	8,071	4,623	3,448
2019	광진구	화양동	536	308	228	176	108	68	360	200	160
2019	광진구	군자동	793	460	333	280	161	119	513	299	214
2019	광진구	중곡1동	693	394	299	265	161	104	428	233	195
2019	광진구	중곡2동	898	520	378	307	185	122	591	335	256
2019	광진구	중곡3동	760	462	298	294	183	111	466	279	187
2019	광진구	중곡4동	1,343	778	565	482	286	196	861	492	369
