기간	자치구	연령별	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)
기간	자치구	연령별	합계	합계	합계	합계	합계	남자	남자	남자	남자	남자	여자	여자	여자	여자	여자
기간	자치구	연령별	계	유배우	사별	이혼	미혼	계	유배우	사별	이혼	미혼	계	유배우	사별	이혼	미혼
2015	합계	합계	8,393,832	4,481,669	519,388	417,869	2,974,906	4,089,115	2,263,110	71,675	166,117	1,588,213	4,304,717	2,218,559	447,713	251,752	1,386,693
2015	합계	15~19	543,220	305	83	17	542,815	278,210	90	36	13	278,071	265,010	215	47	4	264,744
2015	합계	20~24	681,323	6,832	243	397	673,851	340,249	1,882	105	180	338,082	341,074	4,950	138	217	335,769
2015	합계	25~29	721,164	76,824	200	1,490	642,650	357,206	23,213	98	446	333,449	363,958	53,611	102	1,044	309,201
2015	합계	30~34	821,484	352,439	403	7,422	461,220	413,399	151,559	148	2,575	259,117	408,085	200,880	255	4,847	202,103
2015	합계	35~39	765,387	485,455	1,595	20,242	258,095	384,774	229,522	361	7,185	147,706	380,613	255,933	1,234	13,057	110,389
2015	합계	40~44	806,102	576,998	4,668	48,043	176,393	403,286	280,591	916	16,959	104,820	402,816	296,407	3,752	31,084	71,573
2015	합계	45~49	787,835	603,554	11,572	73,360	99,349	387,743	297,516	2,153	27,213	60,861	400,092	306,038	9,419	46,147	38,488
2015	합계	50~54	764,101	602,531	24,414	83,841	53,315	372,490	302,104	4,071	33,291	33,024	391,611	300,427	20,343	50,550	20,291
2015	합계	55~59	746,284	590,167	43,315	78,753	34,049	356,721	299,320	6,733	31,749	18,919	389,563	290,847	36,582	47,004	15,130
2015	합계	60~64	556,511	435,754	57,401	47,703	15,653	264,516	228,555	8,106	20,292	7,563	291,995	207,199	49,295	27,411	8,090
2015	합계	65~69	434,319	321,733	74,690	29,700	8,196	205,890	178,400	9,906	13,895	3,689	228,429	143,333	64,784	15,805	4,507
2015	합계	70~74	337,207	228,683	87,629	16,397	4,498	159,007	137,072	12,310	7,796	1,829	178,200	91,611	75,319	8,601	2,669
2015	합계	75~79	225,924	129,885	86,402	7,077	2,560	98,952	83,445	11,558	3,208	741	126,972	46,440	74,844	3,869	1,819
2015	합계	80~84	121,873	51,486	66,879	2,275	1,233	44,602	35,363	8,113	932	194	77,271	16,123	58,766	1,343	1,039
2015	합계	85세 이상	81,098	19,023	59,894	1,152	1,029	22,070	14,478	7,061	383	148	59,028	4,545	52,833	769	881
2015	종로구	계	131,531	65,088	9,098	5,763	51,582	64,386	33,278	1,207	2,411	27,490	67,145	31,810	7,891	3,352	24,092
2015	종로구	 15~19	9,675	-	10	-	9,665	5,075	-	10	-	5,065	4,600	-	-	-	4,600
