SC_NO,행정동코드,행정동,SCHUL_NM,ADRES,TELNO,OLD_ZIP,latitude,longitude,geometry
4067,1120061500,금호2.3가동,금호유치원,서울특별시 성동구 금호동3가 165-1,02-2252-3179,133-805,37.54869600091439,127.02351999999874,POINT (127.0235199999987 37.54869600091439)
4068,1171058000,송파1동,기린유치원,서울특별시 송파구 송파동 24,02-418-1750,138-170,37.50771500091102,127.10755000000185,POINT (127.1075500000019 37.50771500091102)
3763,1129077000,장위제2동,까망유치원,서울특별시 성북구 장위2동 238-111,02-916-9213,136-142,37.614856000915815,127.0485029999992,POINT (127.0485029999992 37.61485600091581)
3288,1135062400,중계4동,까치유치원,서울특별시 노원구 중계4동 445,02-937-0331,139-859,37.65613800090994,127.07296699999756,POINT (127.0729669999976 37.65613800090994)
4069,1135061900,중계본동,꽃나라유치원,서울특별시 노원구 중계본동 18-9,02-936-2146,139-854,37.644630000914965,127.0877839999992,POINT (127.0877839999992 37.64463000091497)
4070,1135060000,공릉2동,꽃동산유치원,서울특별시 노원구 공릉동 481-3,02-948-9483,139-240,37.63018200091302,127.0744560000017,POINT (127.0744560000017 37.63018200091302)
4072,1171053200,거여2동,꿀벌유치원,서울특별시 송파구 거여동 290,02-3401-1752,138-110,37.491084000914185,127.14443200000277,POINT (127.1444320000028 37.49108400091419)
4071,1153054000,구로제3동,꿀벌유치원,서울특별시 구로구 구로3동 796-1,02-857-8545,152-053,37.48501400091477,126.88932999999805,POINT (126.8893299999981 37.48501400091477)
4558,1130554500,송중동,꿈꾸는유치원,서울특별시 강북구 오패산로30길 (미아동) 75,02-981-0101,142-100,37.61654000091414,127.03502499999527,POINT (127.0350249999953 37.61654000091414)
4076,1120072000,송정동,꿈나무유치원,서울특별시 성동구 송정동 73-21,02-466-5636,133-160,37.55101600091585,127.06863399999862,POINT (127.0686339999986 37.55101600091585)
4075,1135061100,하계1동,꿈나무유치원,서울특별시 노원구 하계1동 153-27,02-978-0806,139-871,37.63369800091145,127.0724180000018,POINT (127.0724180000018 37.63369800091145)
4074,1147067000,신정6동,꿈나무유치원,서울특별시 양천구 신정6동 314,02-2646-7701,158-768,37.52159800091198,126.86766800000152,POINT (126.8676680000015 37.52159800091198)
4078,1130560300,번2동,꿈동산유치원,서울특별시 강북구 번2동 234-3,02-986-0577,142-862,37.632164000912915,127.03835800000303,POINT (127.038358000003 37.63216400091292)
4077,1135070000,상계8동,꿈동산유치원,서울특별시 노원구 상계동 624주공15단지,02-939-5520,139-230,37.668643000911004,127.05356400000207,POINT (127.0535640000021 37.668643000911)
