"응답자특성별(1)",응답자특성별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"응답자특성별(1)",응답자특성별(2),1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위
"응답자특성별(1)",응답자특성별(2),사례수 (명),응답자 본인 (%),배우자 (%),자녀의 친할아버지나 친할머니 (%),자녀의 외할아버지나 외할머니 (%),친인척 (%),민간베이비시터 (%),정부지원 아이돌보미서비스 (%),국공립유치원 (%),사립유치원 (%),국공립어린이집 (%),민간어린이집 (%),가정어린이집 (%),직장어린이집 (%),학원 (%),초등돌봄교실(방과후 학교) (%),지역아동센터 (%),혼자있음 (%),기타 (%),사례수 (명),응답자 본인 (%),배우자 (%),자녀의 친할아버지나 친할머니 (%),자녀의 외할아버지나 외할머니 (%),친인척 (%),민간베이비시터 (%),정부지원 아이돌보미서비스 (%),국공립유치원 (%),사립유치원 (%),국공립어린이집 (%),민간어린이집 (%),가정어린이집 (%),직장어린이집 (%),학원 (%),초등돌봄교실(방과후 학교) (%),지역아동센터 (%),혼자있음 (%),기타 (%),사례수 (명),응답자 본인 (%),배우자 (%),자녀의 친할아버지나 친할머니 (%),자녀의 외할아버지나 외할머니 (%),친인척 (%),민간베이비시터 (%),정부지원 아이돌보미서비스 (%),국공립유치원 (%),사립유치원 (%),국공립어린이집 (%),민간어린이집 (%),가정어린이집 (%),직장어린이집 (%),학원 (%),초등돌봄교실(방과후 학교) (%),지역아동센터 (%),혼자있음 (%),기타 (%),사례수 (명),응답자 본인 (%),배우자 (%),자녀의 친할아버지나 친할머니 (%),자녀의 외할아버지나 외할머니 (%),친인척 (%),민간베이비시터 (%),정부지원 아이돌보미서비스 (%),국공립유치원 (%),사립유치원 (%),국공립어린이집 (%),민간어린이집 (%),직장어린이집 (%),학원 (%),초등돌봄교실(방과후 학교) (%),지역아동센터 (%),혼자있음 (%),기타 (%)
"전체",소계,1256,49.4,2.1,4.8,4.3,0.6,0.2,0.0,0.0,0.3,0.0,0.2,0.1,0.0,26.0,8.9,0.7,2.1,0.3,1252,16.2,19.5,5.3,5.6,1.8,0.6,0.4,0.4,0.2,0.2,0.2,0.1,0.0,27.6,11.9,0.3,9.3,0.2,2065,50.4,0.9,1.5,2.7,0.2,0.0,0.1,0.6,0.7,0.6,0.7,0.0,0.0,27.1,12.4,0.4,1.1,0.3,1470,32.9,10.7,1.4,2.1,0.3,0.3,0.1,0.6,0.3,1.0,1.0,0.1,28.0,15.7,1.0,3.8,0.5
"연령별",만25~29세,7,28.6,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,28.6,0.0,0.0,0.0,7,14.3,14.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,28.6,0.0,14.3,0.0,23,43.5,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0,0.0,17.4,17.4,0.0,0.0,0.0,19,63.2,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,10.5,0.0,0.0,0.0
"연령별",만30~39세,643,48.8,2.0,4.0,4.4,0.3,0.2,0.0,0.0,0.3,0.0,0.2,0.2,0.0,27.7,8.6,0.8,2.0,0.6,639,18.0,20.0,5.0,5.5,1.1,0.8,0.5,0.5,0.3,0.5,0.2,0.2,0.0,25.2,13.6,0.3,8.1,0.3,1026,51.5,0.7,1.6,3.0,0.4,0.1,0.1,0.9,0.8,0.9,1.1,0.0,0.1,24.2,13.6,0.4,0.5,0.3,745,31.7,10.6,1.6,2.3,0.1,0.1,0.1,0.9,0.5,1.2,0.7,0.3,27.5,18.4,0.9,2.7,0.3
"연령별",만40~49세,590,49.3,2.2,5.6,4.2,0.8,0.2,0.0,0.0,0.3,0.0,0.3,0.0,0.0,24.7,9.2,0.7,2.4,0.0,590,14.6,18.8,5.6,5.9,2.7,0.5,0.3,0.3,0.2,0.0,0.2,0.0,0.0,30.0,9.8,0.3,10.5,0.2,986,48.9,1.2,1.2,2.5,0.1,0.0,0.1,0.4,0.5,0.3,0.3,0.1,0.0,30.4,11.3,0.4,1.8,0.4,685,33.7,11.1,0.6,2.0,0.6,0.4,0.0,0.3,0.1,0.4,1.3,0.0,29.2,13.0,1.2,5.1,0.9
"연령별",만50~54세,16,81.3,6.3,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,16,6.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,12.5,0.0,12.5,0.0,30,66.7,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,3.3,0.0,0.0,0.0,21,23.8,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,33.3,14.3,0.0,4.8,0.0
"교육수준별",중졸이하,18,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,16.7,0.0,0.0,5.6,18,16.7,11.1,22.2,5.6,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,11.1,0.0,18,61.1,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,5.6,0.0,0.0,16.7,0.0,5.6,5.6,0.0,15,26.7,13.3,6.7,0.0,0.0,6.7,0.0,0.0,0.0,6.7,0.0,0.0,0.0,20.0,6.7,6.7,6.7
"교육수준별",고졸,427,49.2,3.7,3.3,2.8,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,25.1,9.1,1.2,4.2,0.2,426,17.8,17.4,4.2,3.5,1.4,0.0,0.5,0.5,0.2,0.0,0.0,0.2,0.0,25.4,15.0,0.2,13.1,0.5,705,48.1,0.4,1.4,1.8,0.0,0.0,0.0,0.7,0.1,0.6,0.4,0.1,0.0,31.1,13.2,0.6,1.0,0.4,510,34.5,10.4,0.8,1.4,0.6,0.0,0.2,0.6,0.2,1.6,1.2,0.2,25.1,16.7,1.8,4.3,0.6
"교육수준별",전문대졸,356,53.1,0.8,4.2,5.1,1.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,25.6,7.6,0.0,2.0,0.0,355,14.4,24.8,4.2,5.9,2.0,0.6,0.8,0.3,0.3,0.3,0.0,0.0,0.0,30.7,8.7,0.0,6.8,0.3,543,49.7,0.6,0.6,2.0,0.7,0.0,0.2,0.6,0.6,0.4,1.3,0.0,0.2,28.2,12.5,0.6,1.7,0.4,380,35.0,11.6,1.3,1.3,0.0,0.0,0.0,0.3,0.0,0.5,0.5,0.3,25.8,17.9,0.8,4.2,0.5
