기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2017.12	합계	합계	4,220,082	1,608,998	867,814	776,452	735,420	176,927	40,051	10,106	2,772	897	645
2017.12	종로구	소계	73,594	35,539	13,600	10,925	9,844	2,717	668	209	58	21	13
2017.12	종로구	사직동	4,414	2,061	862	672	596	157	33	22	7	-	4
2017.12	종로구	삼청동	1,414	721	247	203	163	58	14	7	1	-	-
2017.12	종로구	부암동	4,325	1,623	908	747	745	209	57	26	5	3	2
2017.12	종로구	평창동	7,510	2,393	1,601	1,460	1,484	424	106	24	9	7	2
2017.12	종로구	무악동	3,024	708	639	684	755	189	36	9	2	1	1
2017.12	종로구	교남동	4,379	1,577	1,012	822	754	165	31	13	5	-	-
2017.12	종로구	가회동	2,085	927	443	317	277	83	27	7	3	1	-
2017.12	종로구	종로1.2.3.4가동	5,378	4,217	545	301	236	52	16	8	3	-	-
2017.12	종로구	종로5·6가동	3,174	2,064	474	314	237	67	11	3	3	1	-
2017.12	종로구	이화동	4,462	2,583	759	540	428	112	28	10	-	2	-
2017.12	종로구	창신1동	3,050	1,778	553	363	257	79	16	4	-	-	-
2017.12	종로구	창신2동	4,280	1,959	846	669	578	173	43	9	2	1	-
2017.12	종로구	창신3동	2,860	816	651	641	517	187	34	10	4	-	-
2017.12	종로구	숭인1동	3,014	1,306	647	502	389	129	31	8	1	1	-
2017.12	종로구	숭인2동	5,620	3,559	896	568	455	104	27	5	3	3	-
2017.12	종로구	청운효자동	5,452	1,945	1,103	1,025	1,001	263	85	24	5	1	-
2017.12	종로구	혜화동	9,153	5,302	1,414	1,097	972	266	73	20	5	-	4
2017.12	중구	소계	60,412	28,845	12,224	9,206	7,517	1,936	501	120	34	12	17
2017.12	중구	소공동	1,048	576	192	152	97	21	7	1	-	-	2
2017.12	중구	회현동	3,281	2,240	451	283	231	54	14	5	2	-	1
2017.12	중구	명동	1,435	930	218	137	104	31	8	2	2	-	3
2017.12	중구	필동	2,249	1,362	378	244	184	59	13	6	2	-	1
2017.12	중구	장충동	2,628	1,580	441	272	225	80	22	4	1	-	3
2017.12	중구	광희동	2,920	1,845	485	281	233	51	20	4	1	-	-
2017.12	중구	을지로동	1,170	923	120	72	37	14	2	2	-	-	-
2017.12	중구	신당5동	4,467	2,036	906	718	608	152	35	7	3	2	-
2017.12	중구	황학동	6,205	3,180	1,261	883	655	171	46	5	3	1	-
2017.12	중구	중림동	5,297	2,364	1,111	884	727	155	39	13	3	1	-
2017.12	중구	신당동	4,368	2,569	766	537	363	94	31	7	-	1	-
2017.12	중구	다산동	6,863	2,913	1,594	1,106	935	231	58	18	3	2	3
2017.12	중구	약수동	7,819	2,711	1,979	1,545	1,185	298	79	13	5	1	3
2017.12	중구	청구동	6,449	2,439	1,470	1,197	987	279	58	10	6	2	1
2017.12	중구	동화동	4,213	1,177	852	895	946	246	69	23	3	2	-
2017.12	용산구	소계	107,666	49,518	21,720	16,934	14,452	3,753	923	234	79	27	26
2017.12	용산구	후암동	8,502	3,881	1,682	1,363	1,167	312	72	13	5	3	4
2017.12	용산구	용산2가동	5,531	2,736	1,188	813	594	157	33	9	1	-	-
2017.12	용산구	남영동	5,460	4,145	628	338	242	75	22	6	2	1	1
2017.12	용산구	원효로2동	6,022	1,960	1,282	1,192	1,165	310	70	21	17	2	3
2017.12	용산구	효창동	3,892	1,355	857	704	701	199	56	16	1	1	2
2017.12	용산구	용문동	5,251	1,783	1,198	1,040	923	231	55	14	4	1	2
2017.12	용산구	이촌1동	10,015	2,167	2,154	2,512	2,435	555	136	35	14	4	3
2017.12	용산구	이촌2동	3,846	1,261	997	779	589	159	43	11	6	-	1
2017.12	용산구	이태원1동	3,904	2,263	699	475	318	114	27	7	1	-	-
2017.12	용산구	이태원2동	4,920	2,593	1,013	648	495	120	40	6	3	1	1
2017.12	용산구	서빙고동	5,301	1,686	1,063	972	1,161	321	73	22	2	-	1
2017.12	용산구	보광동	7,846	3,980	1,679	1,085	823	213	50	13	3	-	-
2017.12	용산구	청파동	10,549	5,839	1,931	1,286	1,101	283	81	17	9	-	2
2017.12	용산구	원효로1동	6,885	3,054	1,476	1,176	896	221	42	10	5	5	-
2017.12	용산구	한강로동	8,861	4,974	1,601	1,168	841	207	50	14	2	2	2
2017.12	용산구	한남동	10,881	5,841	2,272	1,383	1,001	276	73	20	4	7	4
2017.12	성동구	소계	132,902	51,798	27,999	24,603	21,768	5,002	1,260	331	93	28	20
2017.12	성동구	왕십리2동	7,598	2,876	1,573	1,459	1,282	282	98	16	5	2	5
2017.12	성동구	마장동	10,249	4,110	2,107	1,794	1,663	418	115	24	11	5	2
2017.12	성동구	사근동	6,578	4,314	914	615	543	142	32	13	3	2	-
2017.12	성동구	행당1동	6,251	2,604	1,274	1,111	942	235	60	18	5	1	1
2017.12	성동구	행당2동	9,439	2,247	2,148	2,243	2,192	443	110	42	10	2	2
2017.12	성동구	응봉동	6,245	1,622	1,345	1,391	1,437	347	73	17	9	2	2
2017.12	성동구	금호1가동	5,318	1,670	1,235	1,098	1,004	231	61	16	2	1	-
2017.12	성동구	금호4가동	6,040	2,031	1,406	1,329	980	225	54	10	4	-	1
2017.12	성동구	성수1가1동	7,564	2,959	1,585	1,322	1,342	278	57	17	2	1	1
2017.12	성동구	성수1가2동	7,410	3,262	1,517	1,254	1,054	248	59	9	5	-	2
2017.12	성동구	성수2가1동	8,638	4,032	1,713	1,388	1,169	250	65	17	4	-	-
2017.12	성동구	성수2가3동	5,590	2,714	1,056	804	752	189	58	12	4	1	-
2017.12	성동구	송정동	5,491	2,587	1,124	805	726	187	45	12	1	4	-
2017.12	성동구	용답동	8,101	4,368	1,484	1,073	904	198	61	11	1	-	1
2017.12	성동구	왕십리도선동	11,302	3,946	2,408	2,259	2,075	470	106	32	4	1	1
2017.12	성동구	금호2.3가동	10,215	3,391	2,397	2,147	1,717	421	94	32	12	3	1
2017.12	성동구	옥수동	10,873	3,065	2,713	2,511	1,986	438	112	33	11	3	1
2017.12	광진구	소계	160,798	68,171	31,806	27,507	25,725	5,745	1,359	340	97	28	20
2017.12	광진구	화양동	15,031	11,378	1,893	870	700	138	39	11	2	-	-
2017.12	광진구	군자동	10,279	5,341	2,000	1,410	1,165	270	64	16	6	4	3
2017.12	광진구	중곡1동	7,661	3,445	1,764	1,263	918	210	38	15	6	2	-
2017.12	광진구	중곡2동	10,111	4,092	2,227	1,814	1,552	320	84	16	3	2	1
2017.12	광진구	중곡3동	8,326	3,616	1,858	1,417	1,098	269	55	9	2	1	1
2017.12	광진구	중곡4동	13,115	4,548	2,948	2,592	2,297	546	142	32	6	1	3
2017.12	광진구	능동	6,031	3,207	1,254	786	554	148	71	10	1	-	-
2017.12	광진구	구의1동	11,394	5,734	2,277	1,695	1,276	310	79	18	3	2	-
2017.12	광진구	구의2동	10,602	3,663	2,294	2,126	1,907	458	97	39	12	3	3
2017.12	광진구	구의3동	12,016	3,826	2,391	2,558	2,535	552	110	28	10	4	2
2017.12	광진구	광장동	11,930	2,078	1,738	2,921	4,201	753	183	33	19	3	1
2017.12	광진구	자양1동	11,196	5,277	2,295	1,674	1,500	345	79	19	3	1	3
2017.12	광진구	자양2동	11,215	3,743	2,415	2,317	2,081	494	118	35	7	3	2
2017.12	광진구	자양3동	11,023	2,654	2,245	2,538	2,763	628	136	42	14	2	1
2017.12	광진구	자양4동	10,868	5,569	2,207	1,526	1,178	304	64	17	3	-	-
2017.12	동대문구	소계	159,938	70,090	31,663	26,511	23,485	6,127	1,546	363	103	32	18
2017.12	동대문구	회기동	5,714	3,507	843	624	553	144	34	3	5	1	-
2017.12	동대문구	휘경1동	6,852	3,799	1,210	851	728	190	55	12	5	2	-
2017.12	동대문구	휘경2동	10,986	4,724	1,986	1,861	1,812	451	114	25	9	2	2
2017.12	동대문구	청량리동	10,518	4,723	2,303	1,656	1,325	389	95	19	5	2	1
2017.12	동대문구	용신동	16,488	9,066	3,048	2,090	1,675	458	101	41	6	2	1
2017.12	동대문구	제기동	12,647	6,410	2,491	1,736	1,452	410	114	23	8	2	1
2017.12	동대문구	전농1동	13,920	6,527	2,668	2,219	1,873	484	112	27	4	5	1
2017.12	동대문구	전농2동	7,600	1,975	1,703	1,754	1,580	428	120	30	6	2	2
2017.12	동대문구	답십리1동	10,599	4,114	2,098	1,956	1,786	489	115	29	9	3	-
2017.12	동대문구	답십리2동	11,996	3,862	2,770	2,396	2,234	547	141	35	7	2	2
2017.12	동대문구	장안1동	16,969	6,688	3,497	3,144	2,685	713	178	46	13	3	2
2017.12	동대문구	장안2동	12,507	4,024	2,593	2,633	2,470	599	145	30	8	2	3
2017.12	동대문구	이문1동	14,425	7,916	2,589	1,846	1,540	384	119	16	10	3	2
2017.12	동대문구	이문2동	8,717	2,755	1,864	1,745	1,772	441	103	27	8	1	1
2017.12	중랑구	소계	179,132	69,385	39,419	33,027	28,498	6,869	1,455	352	96	18	13
2017.12	중랑구	면목2동	12,243	5,174	2,683	2,081	1,756	432	93	15	9	-	-
2017.12	중랑구	면목4동	9,446	3,868	2,103	1,686	1,384	306	73	22	3	1	-
2017.12	중랑구	면목5동	4,708	1,903	1,084	846	675	156	31	11	2	-	-
2017.12	중랑구	면목7동	10,126	4,091	2,260	1,825	1,510	351	69	17	2	1	-
2017.12	중랑구	상봉1동	10,069	2,890	2,191	2,178	2,220	466	88	24	9	3	-
2017.12	중랑구	상봉2동	9,656	5,151	1,904	1,381	955	206	42	11	4	2	-
2017.12	중랑구	중화1동	8,769	2,947	2,003	1,818	1,524	380	66	23	6	1	1
2017.12	중랑구	중화2동	14,168	6,966	3,052	2,147	1,526	376	78	16	4	2	1
2017.12	중랑구	묵1동	14,228	4,279	3,060	3,052	2,920	700	163	37	14	-	3
2017.12	중랑구	묵2동	9,076	3,604	2,081	1,648	1,322	328	71	16	2	2	2
2017.12	중랑구	망우3동	8,490	3,465	1,989	1,539	1,159	253	63	18	2	2	-
2017.12	중랑구	신내1동	14,486	3,093	3,065	3,167	3,721	1,142	229	47	19	2	1
2017.12	중랑구	신내2동	9,037	2,507	2,148	2,055	1,824	386	81	23	10	1	2
2017.12	중랑구	면목본동	17,314	7,829	3,843	2,847	2,177	484	102	27	3	-	2
2017.12	중랑구	면목3.8동	12,590	5,330	2,766	2,238	1,744	384	101	23	4	-	-
2017.12	중랑구	망우본동	14,726	6,288	3,187	2,519	2,081	519	105	22	3	1	1
2017.12	성북구	소계	187,112	69,365	38,281	35,319	33,216	8,184	1,987	557	125	33	45
2017.12	성북구	돈암1동	6,414	1,741	1,487	1,408	1,345	330	78	18	5	-	2
2017.12	성북구	돈암2동	8,460	1,461	1,706	2,124	2,354	584	159	52	14	3	3
2017.12	성북구	안암동	8,602	5,284	1,371	906	786	202	36	11	3	2	1
2017.12	성북구	보문동	7,973	3,631	1,583	1,324	1,129	241	50	10	2	-	3
2017.12	성북구	정릉1동	7,027	1,988	1,462	1,588	1,483	373	96	29	4	1	3
2017.12	성북구	정릉2동	9,653	2,890	2,194	2,097	1,866	454	106	36	6	2	2
2017.12	성북구	정릉3동	7,503	3,572	1,467	1,171	959	253	57	14	5	2	3
2017.12	성북구	정릉4동	11,019	3,477	2,487	2,350	2,067	480	121	30	7	-	-
2017.12	성북구	길음1동	12,954	2,556	2,404	3,160	3,807	756	202	49	11	3	6
2017.12	성북구	길음2동	5,160	1,988	999	907	939	249	55	18	4	1	-
2017.12	성북구	월곡1동	10,741	3,051	2,287	2,308	2,339	569	139	38	7	1	2
2017.12	성북구	월곡2동	8,774	3,513	1,741	1,575	1,423	375	109	25	8	2	3
2017.12	성북구	장위1동	8,878	3,112	2,024	1,723	1,490	402	84	33	6	2	2
2017.12	성북구	장위2동	7,948	3,017	1,831	1,481	1,178	329	78	23	7	4	-
2017.12	성북구	장위3동	5,039	1,801	1,045	948	934	236	56	17	2	-	-
2017.12	성북구	성북동	8,001	3,598	1,650	1,216	1,077	328	84	33	8	1	6
2017.12	성북구	삼선동	12,490	5,799	2,417	1,919	1,792	430	104	21	4	3	1
2017.12	성북구	동선동	8,800	5,307	1,462	955	779	214	59	15	7	-	2
2017.12	성북구	종암동	16,964	5,992	3,403	3,335	3,174	810	179	54	9	5	3
2017.12	성북구	석관동	14,712	5,587	3,261	2,824	2,295	569	135	31	6	1	3
2017.12	강북구	소계	142,533	54,745	32,534	26,345	21,711	5,526	1,262	270	85	30	25
2017.12	강북구	번1동	9,886	4,927	2,087	1,446	1,091	252	67	10	5	1	-
2017.12	강북구	번2동	7,565	2,466	2,027	1,569	1,101	298	82	13	6	1	2
2017.12	강북구	번3동	7,621	2,025	2,079	1,687	1,321	383	97	22	5	2	-
2017.12	강북구	수유1동	10,195	4,363	2,191	1,799	1,357	374	84	17	5	2	3
2017.12	강북구	수유2동	9,365	3,064	2,322	1,930	1,537	388	95	20	7	1	1
2017.12	강북구	수유3동	12,026	5,939	2,541	1,864	1,285	316	60	11	3	4	3
2017.12	강북구	삼양동	12,596	4,753	2,867	2,369	1,968	507	91	26	8	3	4
2017.12	강북구	미아동	11,082	5,127	2,456	1,721	1,332	344	75	17	7	2	1
2017.12	강북구	송중동	13,090	5,285	2,829	2,311	1,982	519	126	27	5	3	3
2017.12	강북구	송천동	13,765	5,972	3,049	2,309	1,854	449	103	19	7	1	2
2017.12	강북구	삼각산동	11,888	2,531	2,354	2,729	3,349	736	138	39	8	3	1
2017.12	강북구	우이동	9,288	3,229	2,269	1,861	1,410	388	96	20	7	5	3
2017.12	강북구	인수동	14,166	5,064	3,463	2,750	2,124	572	148	29	12	2	2
2017.12	도봉구	소계	137,378	41,294	31,810	29,112	26,717	6,470	1,449	359	113	37	17
2017.12	도봉구	쌍문1동	9,011	2,869	2,131	1,849	1,597	415	112	31	5	-	2
2017.12	도봉구	쌍문2동	8,550	2,817	2,070	1,795	1,413	331	97	19	4	1	3
2017.12	도봉구	쌍문3동	7,606	2,856	1,789	1,421	1,177	277	67	15	3	1	-
2017.12	도봉구	쌍문4동	7,188	1,483	1,424	1,710	2,018	456	73	16	7	1	-
2017.12	도봉구	방학1동	12,550	4,189	2,860	2,482	2,227	619	119	41	8	4	1
