,이름,종목,구,동,X좌표,Y좌표,건축면적(m^2),연면적(m^2)
0,공항동문화체육센터수영장,수영장,강서구,공항동,126.81001200000001,37.558690000000006,1044,1047
1,관악구민운동장,축구장,관악구,봉천동,126.95706000000001,37.474834,,11670
2,관악구민종합체육센터,생활체육관,관악구,낙성대동,126.96018799999999,37.473014,1924,6985
3,관악구민종합체육센터수영장,수영장,관악구,낙성대동,126.960279,37.47311,1924,6985
4,관악제2구민운동장,축구장,관악구,신림동,126.93358700000002,37.458099,23754,
5,광진구민체육센터골프연습장,골프연습장,광진구,광장동,127.10705800000001,37.545871000000005,2077,7914
6,광진문화예술회관,골프연습장,광진구,자양동,127.070604,37.537644,2520,18860
7,광진문화예술회관체육관,생활체육관,광진구,자양동,127.070604,37.537644,2520,8998
8,구로구민체육센터수영장,수영장,구로구,고척동,126.853168,37.506463000000004,1306,5263
9,대진체육관,생활체육관,강남구,개포동,127.078759,37.496068,796,795
10,남산타운문화체육센터,생활체육관,중구,신당동,127.01196499999999,37.549548,274,1851
11,난지한강공원난지야구장2,야구장,마포구,상암동,126.875786,37.567611,40,
12,난지한강공원난지야구장1,야구장,마포구,상암동,126.87413500000001,37.568368,40,
13,난우공원테니스장,테니스장,관악구,미성동,126.92246999999999,37.477488,2300,
14,낙성대게이트볼장,게이트볼장,관악구,낙성대동,126.960504,37.473253,,
15,까치공원게이트볼장,게이트볼장,관악구,봉천동,126.969757,37.476417,,
16,금호공원체육관,실내체육관,성동구,금호동3가,127.018556,37.549556,588,660
17,금천청소년수련관체육관,생활체육관,금천구,시흥2동,126.91536799999999,37.448642,1529,5056
18,대치유수지체육공원테니스장,테니스장,강동구,대치동,127.06906699999999,37.502311,,
19,대치유수지체육공원축구장,축구장,강동구,대치동,127.068303,37.503130999999996,,
20,구로구민체육센터,생활체육관,구로구,고척동,126.853305,37.506617,1306,5263
21,광진문화예술회관수영장,수영장,광진구,자양동,127.070858,37.537673,1107,1107
22,광진구민체육센터수영장,수영장,광진구,광장동,127.106826,37.546062,986,986
23,광진구민체육센터,생활체육관,광진구,광장동,127.10691899999999,37.545991,1853,13850
