,센터,상시돌봄,일시돌봄
0,강남1호점 우리동네키움센터강남 다함께키움센터태화,45,3
1,강남2호점 우리동네키움센터강남 다함께키움센터역삼,20,4
2,강남3호점 우리동네키움센터강남 다함께키움센터청담,20,4
3,강남4호점 우리동네키움센터미미위 세곡 키움센터,25,5
4,강동1호점 우리동네키움센터상상나루來키움센터,20,4
5,강서1호점 우리동네키움센터염창동,25,5
6,강서2호점 우리동네키움센터방화3동,20,0
7,광진1호점 우리동네키움센터,20,4
8,광진2호점 우리동네키움센터꿈 정함,20,4
9,구로1호점 우리동네키움센터개봉3동,20,4
10,구로2호점 우리동네키움센터구로5동,20,4
11,구로3호점 우리동네키움센터구로2동,20,4
12,구로4호점 우리동네키움센터구로1동,20,4
13,구로5호점 우리동네키움센터천왕동,34,7
14,구로6호점 우리동네키움센터고척1동,20,4
15,구로7호점 융합형 우리동네키움센터,30,6
16,구로8호점 우리동네키움센터고척2동,0,0
17,노원10호점 우리동네키움센터공릉라이프아이휴센터,23,4
18,노원11호점 우리동네키움센터산마루아이휴센터,40,8
19,노원12호점 우리동네키움센터은빛1단지아이휴센터,21,4
20,노원13호점 우리동네키움센터월계극동아이휴센터,28,4
21,노원14호점 우리동네키움센터상계15단지 아이휴센터,28,6
22,노원15호점 우리동네키움센터상계동아불암 아이휴센터,32,6
23,노원16호점 우리동네키움센터상계다락 아이휴센터,25,5
24,노원17호점 우리동네키움센터상계6단지 아이휴센터,40,8
25,노원18호점 우리동네키움센터상계1단지 아이휴센터,25,5
26,노원19호점 우리동네키움센터중계무지개 아이휴센터,21,4
27,노원1호점 우리동네키움센터월계문화아이휴센터,20,4
28,노원20호점 우리동네키움센터상계두산 융합형 아이휴센터,40,8
29,노원21호점 우리동네키움센터상계12단지 아이휴센터,21,4
30,노원22호점 우리동네키움센터상계보람2단지 아이휴센터,21,4
31,노원2호점 우리동네키움센터상계10단지아이휴센터,20,4
32,노원3호점 우리동네키움센터상계5동간촌아이휴센터,28,5
33,노원4호점 우리동네키움센터달빛마실아이휴센터,20,4
34,노원5호점 우리동네키움센터상계3단지아이휴센터,23,4
35,노원6호점 우리동네키움센터공릉태강아이휴센터,20,4
36,노원7호점 우리동네키움센터하계극동아이휴센터,25,5
37,노원8호점 우리동네키움센터월계그랑빌아이휴센터,24,4
38,노원9호점 우리동네키움센터상계7단지아이휴센터,20,4
39,도봉2호점 우리동네키움센터도봉1동 별별키움센터,20,4
40,도봉3호점 우리동네키움센터도봉2동 별별키움센터,20,4
41,도봉4호점 우리동네키움센터창1동 별별키움센터,20,4
42,동대문1호점 우리동네키움센터희망 ,30,6
43,동대문2호점 우리동네키움센터라온 ,20,4
44,동작1호점 우리동네키움센터노량진2동,30,6
45,동작2호점 우리동네키움센터신대방1동,30,6
46,동작3호점 우리동네키움센터사당5동,20,4
47,마포1호점 우리동네키움센터성산2동,25,5
48,마포2호점 우리동네키움센터망원1동,25,5
49,서대문1호점 우리동네키움센터북가좌 우리동네키움센터 친구랑,20,4
50,서초1호점 우리동네키움센터서초구립 우면동 초등키움센터,20,4
51,성동10호점 우리동네키움센터금호대우 아이꿈누리터,20,4
52,성동1호점 우리동네키움센터스위첸아이꿈누리터,20,4
53,성동2호점 우리동네키움센터왕십리도선동아이꿈누리터,15,3
54,성동3호점 우리동네키움센터마장아이꿈누리터,27,5
55,성동4호점 우리동네키움센터응봉아이꿈누리터,20,4
56,성동5호점 우리동네키움센터성수복지관아이꿈누리터,20,4
57,성동6호점 우리동네키움센터성수쌍용아이꿈누리터,15,3
58,성동7호점 우리동네키움센터옥수복지관아이꿈누리터,20,4
59,성동8호점 우리동네키움센터성동복지관아이꿈누리터,20,4
60,성동9호점 우리동네키움센터사근동아이꿈누리터,15,3
61,성북1호점 우리동네키움센터별별재미난교실,29,5
62,송파1호점 우리동네키움센터잠실본동 송파키움센터,20,4
63,송파2호점 우리동네키움센터송파1동 송파키움센터,20,4
64,송파3호점 우리동네키움센터삼전동 송파키움센터,20,4
65,송파4호점 우리동네키움센터가락1동 송파키움센터,20,4
66,송파5호점 우리동네키움센터가락본동 송파키움센터,30,6
67,송파6호점 우리동네키움센터문정2동 송파키움센터,25,5
68,양천1호점 우리동네키움센터,25,5
69,영등포1호점 우리동네키움센터영등포본동 아이랜드,20,4
70,영등포2호점 우리동네키움센터당산1동 아이랜드,25,5
71,영등포3호점 우리동네키움센터대림1동 아이랜드,20,4
72,영등포4호점 우리동네키움센터문래동 아이랜드,25,5
73,영등포5호점 우리동네키움센터여의동 아이랜드,25,5
74,용산1호점 우리동네키움센터,25,5
75,용산2호점 우리동네키움센터,20,4
76,용산3호점 우리동네키움센터,20,4
77,용산4호점 우리동네키움센터,40,8
78,용산5호점 우리동네키움센터,20,4
79,용산6호점 우리동네키움센터,0,0
80,은평1호점 우리동네키움센터진관,20,4
81,은평2호점 우리동네키움센터갈현,20,4
82,은평3호점 우리동네키움센터응암,20,4
83,은평4호점 우리동네키움센터역촌,20,4
84,종로1호점 우리동네키움센터,20,4
85,중구1호점 우리동네키움센터모든아이 신당센터,30,6
86,중구2호점 우리동네키움센터모든아이 중림센터,40,8
87,중구3호점 우리동네키움센터모든아이 손기정센터,40,8
88,중구4호점 우리동네키움센터모든아이 약수센터,80,16
89,중구5호점 우리동네키움센터모든아이 신당5동센터,30,6
90,중랑1호점 신내동우리동네키움센터중랑아동돌봄센터,22,4
