자치구,행정동코드,법정동,행정동,시설ID,시설명,주소,Latitude,Longitude,geometry
중랑구,1126068000,신내동,신내1동,중랑1호점,중랑1호점 신내동우리동네키움센터(중랑아동돌봄센터),서울특별시 중랑구 신내역로1길 145,37.6171078,127.1067657,POINT (127.1067657 37.6171078)
중구,1114065000,신당동,신당제5동,중구5호점,중구5호점 우리동네키움센터(모든아이 신당5동센터),서울특별시 중구 다산로44길 85,37.5650876,127.0218523,POINT (127.0218523 37.5650876)
중구,1114063500,신당동,약수동,중구4호점,중구4호점 우리동네키움센터(모든아이 약수센터),서울특별시 중구 동호로5길 19,37.5517795,127.0125774,POINT (127.0125774 37.5517795)
중구,1114068000,만리동1가,중림동,중구3호점,중구3호점 우리동네키움센터(모든아이 손기정센터),서울특별시 중구 손기정로 101,37.5556652,126.9645497,POINT (126.9645497 37.5556652)
중구,1138058000,중림동,응암제1동,중구2호점,중구2호점 우리동네키움센터(모든아이 중림센터),서울특별시 중구 서소문로6길 16,37.598391,126.9181967,POINT (126.9181967 37.598391)
중구,1114061500,신당동,신당동,중구1호점,중구1호점 우리동네키움센터(모든아이 신당센터),서울특별시 중구 다산로29길 10,37.5610528,127.0135247,POINT (127.0135247 37.5610528)
종로구,1111051500,신교동,청운효자동,종로1호점,종로1호점 우리동네키움센터,서울시 종로구 필운대로 86,37.5834681,126.9673983,POINT (126.9673983 37.5834681)
은평구,1138062500,역촌동,역촌동,은평4호점,은평4호점 우리동네키움센터(역촌),서울특별시 은평구 진흥로7나길 12-5,37.6053078,126.9192502,POINT (126.9192502 37.6053078)
은평구,1138059000,응암동,응암제2동,은평3호점,은평3호점 우리동네키움센터(응암),서울특별시 은평구 백련산로 38,37.590336,126.922937,POINT (126.922937 37.590336)
은평구,1138055200,갈현동,갈현제2동,은평2호점,은평2호점 우리동네키움센터(갈현),서울특별시 은평구 연서로25길 22,37.6174311,126.916704,POINT (126.916704 37.6174311)
은평구,1138069000,진관동,진관동,은평1호점,은평1호점 우리동네키움센터(진관),서울특별시 은평구 통일로 1045,37.6362574,126.9165187,POINT (126.9165187 37.6362574)
용산구,1117070000,한강로3가,보광동,용산6호점,용산6호점 우리동네키움센터,서울특별시 용산구 서빙고로 17,37.5266912,126.998249,POINT (126.998249 37.5266912)
용산구,1117059000,신창동,용문동,용산5호점,용산5호점 우리동네키움센터,서울특별시 용산구 효창원로 39,37.5374366,126.9589625,POINT (126.9589625 37.5374366)
용산구,1117058000,청파동3가,효창동,용산4호점,용산4호점 우리동네키움센터,서울특별시 용산구 효창원로 160,37.5422423,126.9625842,POINT (126.9625842 37.5422423)
용산구,1117068500,한남동,한남동,용산3호점,용산3호점 우리동네키움센터,서울특별시 용산구 이태원로36길 7,37.5347056,126.9994026,POINT (126.9994026 37.5347056)
용산구,1117064000,이촌동,이촌제2동,용산2호점,용산2호점 우리동네키움센터,서울특별시 용산구 이촌로2가길 75,37.5268077,126.9542371,POINT (126.9542371 37.5268077)
용산구,1117056000,원효로2가,원효로제1동,용산1호점,용산1호점 우리동네키움센터,서울특별시 용산구 원효로64길 25,37.5353472,126.9645037,POINT (126.9645037 37.5353472)
영등포구,1156054000,여의도동,여의동,영등포5호점,영등포5호점 우리동네키움센터(여의동 아이랜드),서울특별시 영등포구 여의대방로 386,37.5188582,126.9319282,POINT (126.9319282 37.5188582)
영등포구,1156060500,문래동6가,문래동,영등포4호점,영등포4호점 우리동네키움센터(문래동 아이랜드),서울특별시 영등포구 선유로 63,37.5195897,126.8890304,POINT (126.8890304 37.5195897)
영등포구,1156070000,대림동,대림제1동,영등포3호점,영등포3호점 우리동네키움센터(대림1동 아이랜드),서울특별시 영등포구 시흥대로183길 9-2,37.4912132,126.9065995,POINT (126.9065995 37.4912132)
영등포구,1156055000,당산동3가,당산제1동,영등포2호점,영등포2호점 우리동네키움센터(당산1동 아이랜드),서울특별시 영등포구 당산로29길 9,37.5259388,126.8939684,POINT (126.8939684 37.5259388)
영등포구,1156051500,신길동,영등포본동,영등포1호점,영등포1호점 우리동네키움센터(영등포본동 아이랜드),서울특별시 영등포구 신길로60길 31-2,37.5134477,126.9137679,POINT (126.9137679 37.5134477)
양천구,1147064000,신정동,신정3동,양천1호점,양천1호점 우리동네키움센터,서울특별시 양천구 신정로11길 20,37.5118742,126.8391993,POINT (126.8391993 37.5118742)
송파구,1171064200,문정동,문정2동,송파6호점,송파6호점 우리동네키움센터(문정2동 송파키움센터),서울특별시 송파구 중대로4길 4,37.4896609,127.1112312,POINT (127.1112312 37.4896609)
송파구,1171062000,가락동,가락본동,송파5호점,송파5호점 우리동네키움센터(가락본동 송파키움센터),서울특별시 송파구 오금로36길 36,37.500689,127.1234145,POINT (127.1234145 37.500689)
송파구,1171056100,가락동,방이1동,송파4호점,송파4호점 우리동네키움센터(가락1동 송파키움센터),서울특별시 송파구 양재대로 925,37.50885,127.1247641,POINT (127.1247641 37.50885)
송파구,1171061000,삼전동,삼전동,송파3호점,송파3호점 우리동네키움센터(삼전동 송파키움센터),서울특별시 송파구 백제고분로32길 35,37.4990868,127.0949606,POINT (127.0949606 37.4990868)
송파구,1171058000,송파동,송파1동,송파2호점,송파2호점 우리동네키움센터(송파1동 송파키움센터),서울특별시 송파구 백제고분로 42길 5,37.5058964,127.1097053,POINT (127.1097053 37.5058964)
송파구,1171065000,잠실동,잠실본동,송파1호점,송파1호점 우리동네키움센터(잠실본동 송파키움센터),서울특별시 송파구 올림픽로8길 22,37.5093904,127.0802682,POINT (127.0802682 37.5093904)
성북구,1129076000,장위동,장위제1동,성북1호점,성북1호점 우리동네키움센터(별별재미난교실),서울시 성북구 돌곶이로 37길 32-4,37.6162299,127.0468964,POINT (127.0468964 37.6162299)
성동구,1120055000,사근동,사근동,성동9호점,성동9호점 우리동네키움센터(사근동아이꿈누리터),서울특별시 성동구 사근동길 37,37.5611752,127.0458472,POINT (127.0458472 37.5611752)
성동구,1120054000,마장동,마장동,성동8호점,성동8호점 우리동네키움센터(성동복지관아이꿈누리터),서울특별시 성동구 청계천로 506,37.5704464,127.033811,POINT (127.033811 37.5704464)
성동구,1120064500,옥수동,옥수동,성동7호점,성동7호점 우리동네키움센터(옥수복지관아이꿈누리터),서울특별시 성동구 한림말길 16-5,37.5404159,127.0127183,POINT (127.0127183 37.5404159)
