,행정동코드,행정동,0509세,1014세,0514세,시군구명,키움센터_상시돌봄정원,키움센터_일시돌봄정원,키움센터_개수,초등돌봄교실_이용인원,초등돌봄교실_교실개수,지역아동센터_정원,지역아동센터_개수,방과후아카데미_정원,방과후아카데미_개수,총시설수,시설tfidf,돌봄교실이용비율,tfidf*이용비율,행정동별0514세/전체0514세,tfidf*이용비율*인구비율,시설 정원 및 이용비율,tfidf*정원 및 이용비율*인구비율,예술학원,보습학원개수,총학원수,대체시설tfidf,1인당학원수,수요지수,IQR
0,1165065100,양재1동,2808,2337,5145,서초구,20.0,4.0,1.0,498.0,21.0,65.0,2.0,0.0,0.0,24.0,1.3352687934927177,0.01140135992124362,0.01522388010621519,0.007055251740158301,0.00010740830661133608,90.00005840098112,0.8478597232738111,35,17.0,52.0,0.0040596455617144195,0.01010689990281827,208.85067683488936,4
1,1153078000,오류제2동,2428,2079,4507,구로구,34.0,7.0,1.0,361.0,17.0,54.0,2.0,0.0,0.0,20.0,1.1216257865338828,0.008264841228050093,0.009270059042989349,0.0061803730987159316,5.729242353279969e-05,96.00005840098112,0.6654787252797764,44,26.0,70.0,0.005464907486923257,0.015531395606833814,121.77309988726651,4
2,1150063000,방화제1동,2749,2221,4970,강서구,20.0,0.0,1.0,293.0,12.0,74.0,3.0,0.0,0.0,16.0,0.907982779575048,0.006708029029968635,0.006090774844101034,0.006815277191173324,4.1510318871574044e-05,95.00005840098112,0.5878750225178022,42,47.0,89.0,0.0069482395190881415,0.01790744466800805,84.60776588124189,4
3,1138069000,진관동,3294,4090,7384,은평구,20.0,4.0,1.0,464.0,21.0,19.0,1.0,0.0,0.0,23.0,1.2818580417530088,0.01062295382220289,0.013617118784161636,0.010125554684028941,0.0001378808808879463,44.00005840098114,0.5710998007699418,37,27.0,64.0,0.004996486845186978,0.00866738894907909,114.30027106347163,4
4,1138062500,역촌동,1694,1687,3381,은평구,20.0,4.0,1.0,134.0,6.0,152.0,4.0,0.0,0.0,11.0,0.6409290208765044,0.0030678358021016964,0.0019662649968509253,0.0046363082863897405,9.116210698138043e-06,177.00005840098115,0.5259635554356159,28,43.0,71.0,0.0055429775938793035,0.020999704229517895,94.88827016302541,4
5,1135063000,상계1동,1401,1505,2906,노원구,61.0,12.0,2.0,165.0,8.0,88.0,4.0,0.0,0.0,14.0,0.8011612760956306,0.003777559010050597,0.0030264339970186827,0.003984948796287662,1.2060184513463658e-05,162.00005840098115,0.5171992258253441,33,15.0,48.0,0.0037473651338902334,0.016517549896765314,138.01676840826732,4
6,1174068500,길동,1422,1357,2779,강동구,0.0,0.0,0.0,255.0,13.0,129.0,5.0,0.0,0.0,18.0,1.0148042830544657,0.005838045742805467,0.005924473824466875,0.0038107958378814227,2.2576960191915804e-05,130.00005840098115,0.5027377778056372,40,29.0,69.0,0.005386837379967211,0.02482907520690896,93.32707530307836,4
7,1168070000,세곡동,3120,2490,5610,강남구,25.0,5.0,1.0,458.0,21.0,19.0,1.0,0.0,0.0,23.0,1.2818580417530088,0.010485588040019232,0.01344103535160782,0.007692898398889809,0.00010340051933580512,50.00005840098114,0.4930607597542573,26,15.0,41.0,0.0032008743851979077,0.00730837789661319,154.03939687054344,4
8,1154561000,독산제1동,1618,1103,2721,금천구,0.0,0.0,0.0,341.0,15.0,113.0,4.0,0.0,0.0,19.0,1.068215034794174,0.007806955287437898,0.008339507014007036,0.0037312614159321156,3.111688074925971e-05,114.00005840098112,0.4543802407040736,30,14.0,44.0,0.0034350847060660473,0.01617052554208012,132.27628416314724,4
9,1135069500,상계6.7동,1465,1463,2928,노원구,88.0,17.0,3.0,242.0,10.0,29.0,1.0,0.0,0.0,14.0,0.8011612760956306,0.00554041988140754,0.004438769862294068,0.0040151170253029155,1.7822180445498394e-05,135.00005840098115,0.4342622856164947,57,14.0,71.0,0.0055429775938793035,0.02424863387978142,78.34458614734761,4
10,1135059500,공릉1동,1263,1215,2478,노원구,23.0,4.0,1.0,239.0,10.0,118.0,4.0,0.0,0.0,15.0,0.8545720278353393,0.005471736990315714,0.004675993375595735,0.003398039613627264,1.5889210723332975e-05,146.00005840098115,0.4239651316680444,19,11.0,30.0,0.002342103208681396,0.012106537530266344,181.01897905119935,4
11,1144074000,상암동,1735,2295,4030,마포구,0.0,0.0,0.0,234.0,13.0,79.0,2.0,0.0,0.0,15.0,0.8545720278353393,0.005357265505162664,0.004578169246399171,0.005526271042339739,2.530020413330608e-05,80.00005840098112,0.3778080078858766,35,15.0,50.0,0.0039035053478023267,0.01240694789081886,96.78685546020387,4
12,1144073000,성산제2동,1530,1648,3178,마포구,25.0,5.0,1.0,183.0,10.0,39.0,1.0,30.0,1.0,13.0,0.7477505243559218,0.00418965635660157,0.003132817737519945,0.004357937809567169,1.3652624868820845e-05,100.00005840098112,0.32586521852980843,25,20.0,45.0,0.0035131548130220938,0.014159848961611076,92.7557240921848,4
13,1126068000,신내1동,2247,2011,4258,중랑구,22.0,4.0,1.0,269.0,13.0,35.0,1.0,0.0,0.0,15.0,0.8545720278353393,0.006158565901234003,0.0052629381507751155,0.005838923597588736,3.0729893761210843e-05,62.00005840098114,0.3093666997164484,30,25.0,55.0,0.004293855882582559,0.012916862376702677,72.04869193941796,4
14,1154571000,시흥제5동,545,586,1131,금천구,0.0,0.0,0.0,176.0,9.0,236.0,5.0,0.0,0.0,14.0,0.8011612760956306,0.004029396277387303,0.003228196263486595,0.001550921228011475,5.006678113228685e-06,237.00005840098115,0.29448158571276184,14,9.0,23.0,0.00179561245998907,0.020335985853227233,164.00063614759856,4
15,1129066000,길음제1동,2646,2659,5305,성북구,0.0,0.0,0.0,290.0,13.0,49.0,1.0,0.0,0.0,14.0,0.8011612760956306,0.006639346138876806,0.0053191870250631395,0.007274657042087422,3.869526135005561e-05,50.00005840098114,0.291409016320893,30,18.0,48.0,0.0037473651338902334,0.009048067860508954,77.76371020946496,4
