행정동,구,위도,경도,추정소득 k=5,추정소득 k=10,추정소득 k=15,추정소득 k=20,추정소득 k=25,추정소득 k=30,추정소득 k=35,추정소득 k=40,추정소득 k=45,추정소득 k=50,추정소득 k=1,추정소득 k=2,추정소득 k=3,추정소득 k=4,추정소득 k=6,추정소득 k=7,추정소득 k=8,추정소득 k=9,추정소득 k=11,추정소득 k=12,추정소득 k=13,추정소득 k=14,추정소득 k=16,추정소득 k=17,추정소득 k=18,추정소득 k=19,추정소득 k=21,추정소득 k=22,추정소득 k=23,추정소득 k=24,추정소득 k=26,추정소득 k=27,추정소득 k=28,추정소득 k=29,추정소득 k=31,추정소득 k=32,추정소득 k=33,추정소득 k=34,추정소득 k=36,추정소득 k=37,추정소득 k=38,추정소득 k=39,추정소득 k=41,추정소득 k=42,추정소득 k=43,추정소득 k=44,추정소득 k=46,추정소득 k=47,추정소득 k=48,추정소득 k=49,추정소득 k=51,추정소득 k=52,추정소득 k=53,추정소득 k=54,추정소득 k=55,추정소득 k=56,추정소득 k=57,추정소득 k=58,추정소득 k=59,추정소득 k=60,추정소득 k=61,추정소득 k=62,추정소득 k=63,추정소득 k=64,추정소득 k=65,추정소득 k=66,추정소득 k=67,추정소득 k=68,추정소득 k=69
가락1동,송파구,37.499217099999996,127.10488240000001,0.3337699565365448,0.14943268845530588,0.12616360967090318,0.1648334123421668,0.190119005833876,0.24596258310182112,0.24201122043359485,0.2956728178544481,0.3260768902037253,0.3609489911410565,0.181450269767511,0.33853314794334066,0.23869907637809218,0.30109329203092317,0.30475720813359614,0.24001158695492056,0.19483712603144338,0.17032921069847493,0.1376865875274859,0.13048253547675592,0.12684064292527075,0.12478937257264594,0.11996530286254983,0.1232527658734166,0.1444845917497644,0.1586466778065614,0.17018013318405173,0.17320677202028079,0.1624359487584539,0.1739962876506221,0.20453691710287386,0.21433394504009481,0.22481268203448976,0.23768086999363777,0.2575975132635349,0.26304556898445897,0.25782118798203985,0.2582137113891533,0.22893967022844935,0.2523526732122803,0.2703042316733322,0.28333481761144375,0.29918852943601004,0.30814283999646064,0.32263348222668303,0.32032297501620205,0.3300471776114081,0.33941369573623814,0.3484279709310222,0.3491784165278483,0.37266913436815813,0.3744780138487788,0.3803043756372945,0.3921208729736394,0.3892181598767058,0.3898186080093226,0.3998936550667719,0.4009520460938054,0.4161317931445515,0.42567789583287147,0.42770627362212343,0.43372459678823116,0.4410504038233131,0.4591785853337686,0.4720011257020857,0.47580236684227917,0.48661655176912716,0.5075656099037236,0.5135768092893718
가락2동,송파구,37.496988650000006,127.12963930000001,-0.1204117715748086,-0.08324575361271186,0.2179383192600675,0.32827290579123525,0.34310042389020384,0.3532318465064696,0.38346383122407124,0.4530412528102479,0.45109035721422297,0.48167279510112987,-0.008522663406309796,-0.2337728639325815,-0.2858455733512086,-0.18295996297408662,-0.18832734433314668,-0.23002572865432017,-0.22058670587038287,-0.13735631552718208,0.02226081793037816,0.08019306742567542,0.12789794317493555,0.178567815654054,0.2551044866324892,0.2721816800910284,0.2886368838800774,0.3076248036231475,0.34344895774044915,0.3456314638531639,0.35142085538570556,0.34821963329747374,0.346429406887101,0.34773376130891465,0.3510900002159085,0.3400473703237003,0.3636643854038929,0.3542462416014419,0.3726926495604651,0.3805509742979547,0.39288494431426757,0.3953366762894476,0.40036184550588316,0.44043332461310103,0.45794570105594357,0.4675844504505471,0.45934016749426865,0.449912769439169,0.4436075198248962,0.4629864364210585,0.4698473349330745,0.4740800713950239,0.5056107129177826,0.5212069247519611,0.5315488126601084,0.5426875780146914,0.5494039860955122,0.5502981496628823,0.5593743357922945,0.569024398368064,0.5885580964992705,0.5832230413362552,0.604585817015199,0.616205078460851,0.6341163393802822,0.6381927011961306,0.6611838152500122,0.6570866756909683,0.6660990925400144,0.6686074135632649,0.6701325961539228
가락본동,송파구,37.4959649,127.12134985,0.03524581978010996,-0.055563239271587406,-0.12412783947189306,-0.12435557430087332,-0.07308630396345785,-0.04571280227357076,-0.010139203895441956,0.021765414644006775,0.0533879303255433,0.09686612431230675,-0.09310683800349914,-0.05939131626217631,-0.025995995310549913,0.0063583653968309894,0.03182305023868734,0.022831427987424963,0.006778364848222473,-0.035364334755472515,-0.06779211563789003,-0.08016199581452974,-0.08263029962921128,-0.1107017712184191,-0.131038447935784,-0.1361997481494141,-0.10987844374517187,-0.1143962883229934,-0.10038904518411913,-0.08307104276313078,-0.09813872221669889,-0.0883237990856243,-0.07070628253005455,-0.0703684446619375,-0.06935542582680279,-0.05673730863162906,-0.04069878919588791,-0.03459314901987496,-0.012694113149189237,-0.009110876033924659,0.0007232527022985394,0.011296390402063781,0.022309899019272307,0.011245933668379532,0.02823092836121499,0.031655192762164566,0.036923855624625815,0.04208778231047169,0.0652139229308523,0.06777973325969422,0.08087776302274537,0.08922096827954182,0.10734987511494395,0.11584036489636351,0.11323442756989807,0.11232991508868059,0.10519583177185751,0.1171863225216031,0.12014614564249472,0.11600047129812473,0.11703621159208846,0.11303348037770841,0.11920923860379518,0.1210803952012314,0.11826780828626832,0.11669272982974638,0.11963596257867569,0.12789039554499343,0.1314100266251762,0.1369596639874871,0.14108997477144733
가리봉동,구로구,37.4856446,126.8838114,-0.9851550410540449,-0.9587396110528467,-0.9728952062444317,-0.9818508079410847,-0.9952802408638801,-0.9988884631979746,-0.9999365988501451,-0.9996491630190605,-0.9940057271600415,-0.9968103532141929,-1.0788523703767499,-1.0302794056941493,-1.0203278549537556,-0.9922056460622505,-0.9540156078002585,-0.936521884210877,-0.9461195145536936,-0.9560289534042946,-0.9654475928363329,-0.9641359497229534,-0.9681308012893463,-0.9786105449096425,-0.9681819667503333,-0.9653387519633502,-0.9784972673703507,-0.9824020506667076,-0.9803439889614567,-0.9847143890606443,-0.9847662181987473,-0.9944799094434705,-0.9955151951017368,-0.996584016327146,-0.9976400407215306,-0.9985618795996775,-1.0027606412022225,-1.0016003533587448,-1.0026919019776157,-1.0042026769132943,-0.9960178464949784,-0.9981702960768128,-0.9988165051448521,-0.9992436899431153,-1.0006631137185897,-0.9982653877515959,-0.9954491059087877,-0.9939178932944355,-0.994884505443565,-0.9934630425804527,-0.9947062939419293,-0.9947228679780772,-0.9981973460479135,-0.9995309930034142,-1.0022680536553137,-1.0032119477185828,-1.003665085390448,-1.005217608956683,-1.0051378184723736,-1.0058271112207786,-1.002674638404021,-1.0031018148241035,-1.001204597061828,-1.0036662130096419,-1.005617845411926,-1.005430353277357,-1.003292545142887,-1.0017743717892251,-1.000636786354667,-1.0018483526918098,-1.002379704849117
가양제1동,강서구,37.57018950000001,126.83953840000001,-0.6638501466667449,-0.6203029186706547,-0.40449927361851684,-0.26494194808409893,-0.19884717463145116,-0.20717839996698564,-0.18996911174259287,-0.14860096783530358,-0.14799626418268907,-0.1414999359289645,-0.7362603140677345,-0.7645468577129828,-0.7442120668148534,-0.680632931841118,-0.6732350339970362,-0.666645566391603,-0.6645528098664423,-0.6102272505817397,-0.6242652390014825,-0.569216281566527,-0.5227006406993813,-0.4456542076479549,-0.342542900115983,-0.31229509406247713,-0.31274998644778795,-0.29790249242957323,-0.30834898433577135,-0.2459153616579769,-0.20598396115714762,-0.20177832804564486,-0.197043445564877,-0.19910807134404152,-0.17975009915886378,-0.179438399183327,-0.1898820400775648,-0.21670396193865293,-0.1791977306342684,-0.1854315510932507,-0.1639869761587534,-0.16046095116909623,-0.15550430190459494,-0.15841967493137768,-0.15212597985453133,-0.15098371997579801,-0.15156349911471306,-0.15075258625867416,-0.15214409398248147,-0.1516222111732855,-0.14916669539759428,-0.14609310260246575,-0.13625873330923638,-0.12935746180051763,-0.12002732714195907,-0.11995058651801535,-0.12307634605347068,-0.12588096652513703,-0.12825785242583207,-0.12873225232113358,-0.1255316939077236,-0.12761957269615506,-0.12954283030708652,-0.13144189337734694,-0.1328920080541977,-0.13481185875383742,-0.13000150033100677,-0.13359421442666747,-0.13891723720210927,-0.13979381824554996,-0.13643489360787836
가양제2동,강서구,37.5670167,126.8523675,-0.2284809678598237,-0.1746598557602741,-0.21129864099236187,-0.29602267332559645,-0.3052556472040826,-0.345017573025609,-0.3592543581443631,-0.38839031430207704,-0.40438082781084,-0.41832546524308,-0.4771193448830951,-0.44679759158757415,-0.2850815740114627,-0.23644042809989796,-0.21433081632191395,-0.21505276282895017,-0.20517112001389198,-0.1899049595005221,-0.15391701998311091,-0.127787478790948,-0.17331870128758758,-0.1933943676178638,-0.24307331163329313,-0.2684343369080395,-0.28685034295370143,-0.2884861217499072,-0.28731960818327484,-0.2794077307811644,-0.2863559665412744,-0.29304103425153694,-0.3150728979441478,-0.3255667298004823,-0.33720611181947724,-0.3435990726128186,-0.3487898599678583,-0.35280015637145934,-0.35381088148131007,-0.357883509129826,-0.36337065647864786,-0.37423026038978024,-0.3797306609431391,-0.3841715088195175,-0.39358661232872716,-0.39774132643446364,-0.4009976409702699,-0.4025553970063824,-0.4059620999211065,-0.4087663712307454,-0.41224342689455346,-0.4148050478043409,-0.4236400956883479,-0.42592223066488866,-0.4271742682283975,-0.43068214122495474,-0.4352477601050076,-0.43328816757465904,-0.43232826369918526,-0.4312707627448678,-0.4301720200772335,-0.42842766271603777,-0.4272375753223488,-0.4259636127103292,-0.42220328058120726,-0.4209293458073329,-0.4196946090265009,-0.41792301288115774,-0.4156385958503113,-0.40940819432537673,-0.411048683897855
가양제3동,강서구,37.5622166,126.85852050000001,0.6136522773463138,0.6663658170836826,0.6722272801280831,0.633595798994927,0.5879969170991945,0.5605894652266457,0.5256415921843549,0.5091106445323017,0.5087302361296747,0.5563154245739965,0.7250003471329654,0.6872704382027435,0.6649678698128789,0.6688210595461392,0.5794849124058793,0.6009914965846103,0.6290692392132287,0.6531433299350562,0.6768183498762658,0.638911395280744,0.6501773034454037,0.665583115614003,0.6270942891635136,0.6435066198008381,0.6547415884624402,0.6425531404218481,0.6164141808133877,0.6094592776802077,0.5996095629766749,0.5956113123557992,0.5808831301951898,0.5735510083175513,0.5668124541048714,0.5625528416801279,0.552948891142819,0.5415985728501126,0.5370551253058234,0.5297818892967621,0.5220143663084449,0.5193426557512218,0.5104570505613941,0.5102825504976575,0.5060804212598679,0.5053039260139539,0.49391727794955476,0.5032851559506565,0.519118587135171,0.5290648806510717,0.5381775240601407,0.5483555527042767,0.5534199865961478,0.5554812939544024,0.5558701935632191,0.5553453950603756,0.5542221061825396,0.5510766788727883,0.5509507158095446,0.5502219483404092,0.5473862515803846,0.5475796265180446,0.5450236458192008,0.542769255256644,0.5448233698498822,0.5452490742210163,0.5444539270296067,0.5450552617785542,0.5456386462364883,0.5441235875467455,0.5440036476841762
가회동,종로구,37.580028399999996,126.98517849999999,-0.1460930382778702,-0.10791065330432506,-0.14635844983510865,-0.12578389923774513,-0.07978352230299335,-0.07554341656960603,-0.0857903847900455,-0.04001934777149093,-0.0088324639686483,0.02616940314582056,-0.4900848375042124,-0.2751615319135748,-0.10619894716944518,-0.16992872839575401,-0.17793975002896248,-0.10190191246568978,-0.08184703387292522,-0.10304152645492684,-0.08748850404823892,-0.09681427338448827,-0.06683152356707595,-0.1055728189221266,-0.14081405044754897,-0.13508760345264317,-0.13670900554651733,-0.12873368111547312,-0.15678501555810506,-0.13756403237737858,-0.1130502409324014,-0.12281327805824895,-0.08704641901077986,-0.09409232528855045,-0.09736526107954321,-0.07999986927327639,-0.07061727188580186,-0.07936986162515888,-0.082857957369,-0.0864625400951748,-0.06351835208041104,-0.06011193966536294,-0.05279301469055722,-0.07054008231698353,-0.0620381312529452,-0.04738902810749588,-0.007381839120016501,-0.022488007620234625,0.01438301669932996,0.03827829538321821,0.02082891894577514,0.02774007744030344,0.02861673811185926,0.03224971744045069,0.005045808464826057,-0.0030032856898231397,0.005973714095969404,0.027510097988796497,0.0268089442563302,0.023335602533423344,0.04724673524146843,0.0407912367399957,0.01534725596591703,0.017412596307876917,0.014506227395412121,0.024138359098887018,0.030322698820573462,0.021595389648916705,0.02508696301267374,0.01327905127102096,0.014494348300855043
갈현제2동,은평구,37.619748400000006,126.91474109999999,-0.6680052272736974,-0.6293966270459281,-0.6048523679811003,-0.5865196984085173,-0.6035758404204072,-0.5911874890798875,-0.5837149095592185,-0.5788438591981698,-0.5819445804463514,-0.5858196001156939,-0.6987360021767608,-0.705153266014579,-0.6948374598536998,-0.6781907738516602,-0.6819903787771481,-0.6776560799305331,-0.6735753267744202,-0.6451440788016247,-0.6344625176929284,-0.6171084820732745,-0.6199728094103099,-0.6168167700737737,-0.5973446086344638,-0.5909696005847542,-0.5884999247371169,-0.5824950331322445,-0.588995622781082,-0.5968634805597626,-0.5970622963531871,-0.5965481283600971,-0.6010507358853308,-0.5982276185586572,-0.5973102970578754,-0.5926689149422819,-0.5912019876370034,-0.5895335348706332,-0.5861968882077402,-0.5890029133667052,-0.5886098464223375,-0.5862339516620221,-0.5803002935140664,-0.5780136440273991,-0.5806236066531205,-0.5790269147798723,-0.5781876217918585,-0.5800948040184335,-0.5840789650108353,-0.5837728315827106,-0.5861041007129202,-0.5861750132807203,-0.5864712659439579,-0.5839702944292245,-0.5854813964174028,-0.5838056846010596,-0.5810753155306774,-0.5787299944889961,-0.5779306042156195,-0.5773636703130366,-0.5809601466967191,-0.5776832608939888,-0.577561141778951,-0.577167665186993,-0.5778989376794414,-0.5739926729836115,-0.5734399153161387,-0.5614329406178885,-0.5631769014457058,-0.5661070856606355,-0.5576355290647845
강일동,강동구,37.56061056666666,127.17697236666667,0.1397116634442611,0.07443460378218394,0.08077101234844819,0.0787813745677858,0.06634000840198405,0.04783110876270678,0.040517331897948004,0.061464588716349,0.08905777249553877,0.09440751992592439,0.17013453869046766,0.18056746008673072,0.18017028286075565,0.15138362485901327,0.1320837438292194,0.08971001850615652,0.06619129853048104,0.05021257530341788,0.08211640877726613,0.07900140362510107,0.07128967368345891,0.06596136251798151,0.07973772524236782,0.0720371676402324,0.07110019687816922,0.07274880063827747,0.07571397534350909,0.0797282998876142,0.07664257380361852,0.06814688788807562,0.06116666324156892,0.057773364924300276,0.05522663881453218,0.051245820910645036,0.05354881094827755,0.05060166266856785,0.049752480853100904,0.047081734421044796,0.03824479587064918,0.03772546465816181,0.04464311568050622,0.0530037386870598,0.0670140857048989,0.07071062643979953,0.07713282870196982,0.08187136263568719,0.08522759963011656,0.08888440414858416,0.0906603480831887,0.0930205420743686,0.0960400424051201,0.09340056583953543,0.09305091618106837,0.09514377955416033,0.09587770617903409,0.09363972722011875,0.09141874325790249,0.08898382944938933,0.09130677670160363,0.08950628099482227,0.08770829328923989,0.08642829817005866,0.08668409604250567,0.08542557019434617,0.08173722504682243,0.07721694120488097,0.07502063238530547,0.07343867816881351,0.06916239678093292
