행정동,구,추정소득 k=35,소득분위
반포본동,서초구,4.756055645010603,10
압구정동,강남구,3.6370814406807677,10
반포1동,서초구,3.5879618311296437,10
대치1동,강남구,2.947821359203719,10
반포2동,서초구,2.86473625709757,10
잠실2동,송파구,2.642556803111777,10
일원1동,강남구,2.5500080036086024,10
개포2동,강남구,2.294870187543372,10
반포3동,서초구,2.229127915798744,10
이촌제1동,용산구,2.143187281295388,10
잠원동,서초구,2.1329342965932088,10
도곡2동,강남구,2.0956582478557935,10
역삼2동,강남구,2.076975106558782,10
서초2동,서초구,2.024099853566228,10
대치2동,강남구,1.9800595198843247,10
잠실4동,송파구,1.9433871388987298,10
삼성1동,강남구,1.8947987832843385,10
수서동,강남구,1.8323336958668575,10
잠실3동,송파구,1.7959817923864758,10
서초4동,서초구,1.7908037803253143,10
일원본동,강남구,1.7394354613352712,10
잠실6동,송파구,1.6860850007611996,10
북아현동,서대문구,1.576264573888924,10
청담동,강남구,1.5672744833990278,10
아현동,마포구,1.535460589778654,10
잠실7동,송파구,1.4774733561125792,10
신사동,강남구,1.4133039178157558,10
일원2동,강남구,1.3994109024893489,10
논현2동,강남구,1.3444761817759678,10
위례동,송파구,1.331629329800817,10
고덕제2동,강동구,1.315926163849833,10
문정2동,송파구,1.2381629608093854,10
암사제1동,강동구,1.2031867134919143,10
오륜동,송파구,1.2027012821703784,10
상일동,강동구,1.1233749365863044,10
금호4가동,성동구,1.1151530852706952,10
왕십리도선동,성동구,1.017075662708632,10
세곡동,강남구,0.9944357466674518,9
내곡동,서초구,0.9378682422007976,9
양재1동,서초구,0.9118362207249016,9
공덕동,마포구,0.9077202513292923,9
광장동,광진구,0.9029001877269476,9
원효로제1동,용산구,0.8994174944046656,9
성수1가제1동,성동구,0.8900434202729558,9
도곡1동,강남구,0.889714136814491,9
천연동,서대문구,0.8529412491343237,9
석촌동,송파구,0.838504305197923,9
여의동,영등포구,0.833419444618434,9
용강동,마포구,0.8208768521337844,9
한남동,용산구,0.8097258134560844,9
한강로동,용산구,0.8086693374551241,9
흑석동,동작구,0.8004287270132835,9
잠실본동,송파구,0.7930180478785004,9
개포4동,강남구,0.7759761849949024,9
목5동,양천구,0.7700201423505024,9
행당제2동,성동구,0.765124755963258,9
동화동,중구,0.764536315291806,9
행당제1동,성동구,0.7644197251605181,9
서빙고동,용산구,0.7621822407847673,9
삼성2동,강남구,0.7412510570801686,9
목1동,양천구,0.7365580372646978,9
원효로제2동,용산구,0.7241004933269047,9
이태원제1동,용산구,0.6866448675722385,9
옥수동,성동구,0.6840913284968972,9
용산2가동,용산구,0.6798755793820609,9
상도제2동,동작구,0.6750147577455685,9
방배본동,서초구,0.6462768778772613,9
신당제5동,중구,0.6448404591114933,9
염리동,마포구,0.6258608534677049,9
자양제3동,광진구,0.6235896242607257,9
방배1동,서초구,0.6217650552194433,9
서교동,마포구,0.6078459639477432,9
도화동,마포구,0.5964360742839807,9
방배4동,서초구,0.5870039927668772,8
방배2동,서초구,0.5866957861726106,8
중림동,중구,0.5858835584985598,8
대치4동,강남구,0.5826763500380608,8
성수2가제1동,성동구,0.5729442841829978,8
청파동,용산구,0.5577571409840183,8
종로5.6가동,종로구,0.5335077562348013,8
다산동,중구,0.5319011443240339,8
자양제1동,광진구,0.5279140060372,8
가양제3동,강서구,0.5256415921843549,8
서강동,마포구,0.5223108715246846,8
신수동,마포구,0.520184943919095,8
대흥동,마포구,0.500804735610415,8
사당제3동,동작구,0.4802767113599313,8
송파2동,송파구,0.4617470061417883,8
방배3동,서초구,0.4444652382654614,8
장지동,송파구,0.43624662302336925,8
상암동,마포구,0.4357743367425256,8
명일제1동,강동구,0.4355726759918255,8
풍납2동,송파구,0.42017311300639987,8
장위제1동,성북구,0.39965429008787745,8
신길제7동,영등포구,0.39928564158685614,8
청구동,중구,0.3874187314794919,8
공항동,강서구,0.3874137189204573,8
이화동,종로구,0.38725737429460044,8
금호2.3가동,성동구,0.3863928163773163,8
신길제5동,영등포구,0.3859706713631366,8
가락2동,송파구,0.38346383122407124,8
신정7동,양천구,0.38188581285849593,8
신정1동,양천구,0.3762227607475874,8
노량진제1동,동작구,0.375964161588789,8
신월6동,양천구,0.37183476029129253,8
방화제1동,강서구,0.36331003326064143,8
당산제2동,영등포구,0.35995804027072625,8
신길제6동,영등포구,0.3539473824901169,8
신당동,중구,0.346537142244046,8
녹번동,은평구,0.3022051775135714,7
영등포본동,영등포구,0.2941180603059952,7
상도제4동,동작구,0.2922680603303232,7
신도림동,구로구,0.28920891787549896,7
필동,중구,0.2790838727446613,7
명일제2동,강동구,0.27637411609442836,7
목4동,양천구,0.2736006471378672,7
충현동,서대문구,0.26416174926701536,7
응봉동,성동구,0.25798237138541136,7
상계6.7동,노원구,0.25694811348518515,7
삼선동,성북구,0.2561211923677491,7
가락1동,송파구,0.24201122043359485,7
서초1동,서초구,0.24136790229942962,7
문래동,영등포구,0.2338380952670384,7
암사제2동,강동구,0.23009676391155298,7
사당제1동,동작구,0.22908543989261365,7
역삼1동,강남구,0.22204531584996892,7
둔촌제2동,강동구,0.21528104783288207,7
신대방제1동,동작구,0.21193995152468742,7
대방동,동작구,0.21143547107901708,7
금호1가동,성동구,0.20827134538676748,7
고덕제1동,강동구,0.20494961755794674,7
마천1동,송파구,0.20491084172906893,7
신대방제2동,동작구,0.18928407990148005,7
등촌제3동,강서구,0.18821150034299555,7
명동,중구,0.18479204744099217,7
합정동,마포구,0.18407482547781373,7
회기동,동대문구,0.18114815053678798,7
화양동,광진구,0.17359115118507867,7
남가좌제1동,서대문구,0.1722101932563067,7
성수2가제3동,성동구,0.16379774353131096,7
신정2동,양천구,0.16245648646483238,7
송파1동,송파구,0.1591696646203918,7
신촌동,서대문구,0.13798437193355748,7
서초3동,서초구,0.13378901642293303,7
혜화동,종로구,0.1328197040351673,7
대림제1동,영등포구,0.1295775618974655,6
논현1동,강남구,0.1291970631986736,6
문정1동,송파구,0.12295729536870674,6
용신동,동대문구,0.1201129459071637,6
신길제1동,영등포구,0.10689653664364251,6
동선동,성북구,0.1041496806628041,6
오금동,송파구,0.10025161526905642,6
사당제2동,동작구,0.0986150649340749,6
성내제1동,강동구,0.09429269957887101,6
구의제3동,광진구,0.09223051494937012,6
성산제2동,마포구,0.09214994788429494,6
자양제2동,광진구,0.09046991354457602,6
방이1동,송파구,0.08592146693713168,6
월계3동,노원구,0.07842264347839208,6
청룡동,관악구,0.0689895105442174,6
사당제5동,동작구,0.061835005969802195,6
거여2동,송파구,0.061342776362440066,6
삼전동,송파구,0.05571948510797717,6
종로1.2.3.4가동,종로구,0.05564583359753847,6
사직동,종로구,0.04975283214981429,6
양평제2동,영등포구,0.048497793916734554,6
발산제1동,강서구,0.04750843916663228,6
전농제1동,동대문구,0.0417867287415552,6
강일동,강동구,0.040517331897948004,6
불광제1동,은평구,0.014004886753937388,6
양평제1동,영등포구,0.012917982334075146,6
왕십리제2동,성동구,-0.00830801365919745,6
가락본동,송파구,-0.010139203895441956,6
마장동,성동구,-0.017315424891058306,6
전농제2동,동대문구,-0.019806929013149153,6
낙성대동,관악구,-0.030026764552759013,6
송천동,강북구,-0.03314932339476003,6
무악동,종로구,-0.035633957520982064,6
청운효자동,종로구,-0.04313228469800396,6
마천2동,송파구,-0.047362171148403756,6
응암제3동,은평구,-0.04788795352940861,6
양재2동,서초구,-0.049936815933284494,5
풍납1동,송파구,-0.05761194960958326,5
창신제3동,종로구,-0.06016850664902947,5
구의제2동,광진구,-0.07602119557240569,5
답십리제1동,동대문구,-0.07788913648088394,5
영등포동,영등포구,-0.07899843184896807,5
염창동,강서구,-0.08014246377393848,5
가회동,종로구,-0.0857903847900455,5
중계1동,노원구,-0.08917165499486271,5
진관동,은평구,-0.0988058678062596,5
사근동,성동구,-0.0989962748834319,5
창신제1동,종로구,-0.10833153618312015,5
신원동,관악구,-0.11838275669220046,5
삼각산동,강북구,-0.12519765844413883,5
중앙동,관악구,-0.1312434112445801,5
종암동,성북구,-0.13314130816902903,5
이태원제2동,용산구,-0.13388210827070957,5
신길제3동,영등포구,-0.1372929211493227,5
방화제3동,강서구,-0.13746348869548417,5
장위제3동,성북구,-0.13856240369832065,5
중계본동,노원구,-0.14616760695270267,5
남가좌제2동,서대문구,-0.15660953227323277,5
소공동,중구,-0.15704216857015146,5
보라매동,관악구,-0.1570977637642079,5
행운동,관악구,-0.15840961323364466,5
방학제1동,도봉구,-0.16393314043616966,5
송정동,성동구,-0.16619599224382894,5
길음제1동,성북구,-0.16890569077389891,5
장안제1동,동대문구,-0.17898024823499362,5
홍제제1동,서대문구,-0.1789864543028391,5
서림동,관악구,-0.17935079566911416,5
삼양동,강북구,-0.1795239413453064,5
청량리동,동대문구,-0.17996374332481274,5
수색동,은평구,-0.18187880019916383,5
증산동,은평구,-0.18607281388208216,5
장안제2동,동대문구,-0.18818153001276117,5
가양제1동,강서구,-0.18996911174259287,4
창제4동,도봉구,-0.1941958429065173,4
송중동,강북구,-0.20326984750053798,4
안암동,성북구,-0.20624709624616064,4
구로제5동,구로구,-0.2154322783321757,4
성현동,관악구,-0.22446984955660904,4
망원제2동,마포구,-0.22526895325593133,4
창제1동,도봉구,-0.22564230601537202,4
능동,광진구,-0.22775072448508454,4
면목제3.8동,중랑구,-0.22952136759534167,4
면목제4동,중랑구,-0.2344669956158094,4
중계2.3동,노원구,-0.23720446127185438,4
하계2동,노원구,-0.23784582433669194,4
월계2동,노원구,-0.24044820076402562,4
상봉제1동,중랑구,-0.2438212998056516,4
거여1동,송파구,-0.24673029049570216,4
천호제2동,강동구,-0.24788653570255414,4
군자동,광진구,-0.25220611436220697,4
응암제2동,은평구,-0.25608099794508293,4
중곡제4동,광진구,-0.2576802946747153,4
구로제1동,구로구,-0.25994286537847094,4
신정3동,양천구,-0.2607772669017757,4
답십리제2동,동대문구,-0.261824807340453,4
신월7동,양천구,-0.2666768459823263,4
창제5동,도봉구,-0.26719377513887993,4
상계10동,노원구,-0.2694768977046358,4
상도제1동,동작구,-0.2804756897930142,4
