,ADMI_CD,ADMI_NM,CTY_NM,CNT0514
424,11170510,후암동,용산구,1145
425,11590530,상도1동,동작구,3284
426,11110700,숭인1동,종로구,369
427,11110615,종로1.2.3.4가동,종로구,199
428,11170570,원효로2동,용산구,1109
429,11140650,신당5동,중구,595
430,11110515,청운효자동,종로구,1099
431,11170640,이촌2동,용산구,493
432,11320511,창1동,도봉구,2047
433,11170660,이태원2동,용산구,452
434,11470600,신월5동,양천구,1219
435,11680630,대치4동,강남구,1408
436,11260580,상봉1동,중랑구,1978
437,11440600,대흥동,마포구,701
438,11260630,묵2동,중랑구,1194
439,11590680,신대방2동,동작구,1722
440,11230610,답십리2동,동대문구,1892
441,11140670,황학동,중구,543
442,11530750,개봉2동,구로구,2300
443,11650621,방배4동,서초구,2235
444,11680730,일원1동,강남구,945
445,11440720,성산1동,마포구,1310
446,11410565,충현동,서대문구,937
447,11620655,신원동,관악구,745
448,11440555,아현동,마포구,2004
449,11305615,수유1동,강북구,1216
450,11500550,화곡2동,강서구,1467
451,11230560,전농1동,동대문구,1841
452,11710532,거여2동,송파구,1208
453,11740550,고덕1동,강동구,4095
454,11215710,화양동,광진구,486
455,11530530,구로2동,구로구,1199
456,11215810,광장동,광진구,5471
457,11500603,가양1동,강서구,1797
458,11710510,풍납1동,송파구,782
459,11680521,논현1동,강남구,738
460,11470530,목3동,양천구,1258
461,11170690,서빙고동,용산구,1180
462,11140520,소공동,중구,175
463,11560605,문래동,영등포구,3326
464,11410710,북가좌1동,서대문구,1859
465,11170630,이촌1동,용산구,3201
466,11110690,창신3동,종로구,449
467,11590660,대방동,동작구,3487
468,11710670,잠실2동,송파구,6297
469,11530740,개봉1동,구로구,2133
470,11305603,번2동,강북구,918
471,11230545,제기동,동대문구,1169
472,11320690,방학1동,도봉구,2022
473,11710610,삼전동,송파구,1878
474,11260575,면목3.8동,중랑구,1285
475,11650590,방배본동,서초구,2341
476,11740700,둔촌2동,강동구,2049
477,11680720,일원본동,강남구,3360
478,11290705,종암동,성북구,3454
479,11710650,잠실본동,송파구,1426
480,11260660,망우3동,중랑구,985
481,11560540,여의동,영등포구,3248
482,11680590,삼성2동,강남구,3349
483,11215750,중곡2동,광진구,1398
484,11620765,미성동,관악구,2197
485,11170650,이태원1동,용산구,259
486,11410520,천연동,서대문구,1412
487,11500591,화곡6동,강서구,1446
488,11530510,신도림동,구로구,3849
489,11590540,상도2동,동작구,2143
490,11350624,중계4동,노원구,1781
491,11110570,무악동,종로구,925
492,11680700,세곡동,강남구,5610
493,11620645,서원동,관악구,706
494,11290580,돈암1동,성북구,1003
495,11320680,쌍문3동,도봉구,912
496,11380632,신사2동,은평구,1456
497,11350710,상계9동,노원구,1847
498,11500540,화곡1동,강서구,2452
499,11710561,방이1동,송파구,1403
500,11440660,서교동,마포구,977
501,11140680,중림동,중구,807
502,11500560,화곡3동,강서구,1477
503,11170685,한남동,용산구,1121
504,11710540,마천1동,송파구,1468
505,11680610,대치2동,강남구,4373
506,11260520,면목2동,중랑구,1499
507,11620695,신림동,관악구,353
508,11380570,대조동,은평구,1468
509,11470620,신정1동,양천구,2879
510,11140615,신당동,중구,242
511,11440610,염리동,마포구,1097
512,11500641,방화3동,강서구,1572
513,11350625,중계2.3동,노원구,2675
514,11545700,시흥4동,금천구,1404
515,11620775,난곡동,관악구,1628
516,11620625,인헌동,관악구,1394
517,11710620,가락본동,송파구,1615
518,11440680,합정동,마포구,893
519,11200580,응봉동,성동구,1622
520,11680580,삼성1동,강남구,1120
521,11620630,남현동,관악구,904
522,11200590,금호1가동,성동구,1146
523,11440740,상암동,마포구,4030
524,11320522,도봉2동,도봉구,1692
525,11740610,천호2동,강동구,1710
526,11290610,보문동,성북구,903
527,11500640,방화2동,강서구,1364
528,11680545,압구정동,강남구,2841
529,11680670,개포2동,강남구,2071
530,11305575,삼각산동,강북구,4028
531,11320521,도봉1동,도봉구,1057
532,11560535,영등포동,영등포구,887
533,11200615,금호2.3가동,성동구,1406
534,11545710,시흥5동,금천구,1131
535,11410585,신촌동,서대문구,688
536,11230710,회기동,동대문구,607
537,11290685,길음2동,성북구,1415
538,11590560,상도4동,동작구,1853
539,11305625,수유2동,강북구,1247
540,11170530,남영동,용산구,214
541,11110560,평창동,종로구,1413
542,11290770,장위2동,성북구,719
543,11620745,삼성동,관악구,1257
544,11140590,광희동,중구,170
545,11560620,양평2동,영등포구,1491
546,11680690,개포4동,강남구,1373
547,11290760,장위1동,성북구,1264
548,11680650,역삼2동,강남구,4770
549,11470560,신월1동,양천구,1216
550,11530780,오류2동,구로구,4507
551,11560560,당산2동,영등포구,2463
552,11290620,정릉1동,성북구,1676
553,11290600,안암동,성북구,557
554,11680640,역삼1동,강남구,1105
555,11500605,가양3동,강서구,513
556,11440585,도화동,마포구,1574
557,11260680,신내1동,중랑구,4258
558,11290575,동선동,성북구,700
559,11590510,노량진1동,동작구,2008
560,11230536,용신동,동대문구,1308
561,11215840,자양3동,광진구,2637
562,11215830,자양2동,광진구,1836
563,11500611,발산1동,강서구,4848
564,11530790,수궁동,구로구,1796
565,11350720,상계10동,노원구,1122
566,11470650,신정4동,양천구,1989
567,11650540,잠원동,서초구,3546
568,11140550,명동,중구,124
569,11320515,창5동,도봉구,1756
570,11620525,보라매동,관악구,1348
571,11650580,반포3동,서초구,2551
572,11710562,방이2동,송파구,1096
573,11110530,사직동,종로구,704
574,11545680,시흥2동,금천구,2091
575,11200550,사근동,성동구,443
576,11410690,남가좌1동,서대문구,2182
577,11650610,방배2동,서초구,1419
578,11560710,대림2동,영등포구,518
579,11545620,독산2동,금천구,1085
580,11380530,불광2동,은평구,1420
