,소재구,학교명,설립,학급수 계,학생수 계,학급당 평균 학생수,총교원수 계,정규교원수 계,기간제교원수 계,총직원수 계,직원수 일반직 계,직원수 공무직 계,교실수,소재지지번주소,소재지도로명주소,위도,경도,구,동,법정동코드,법정동,행정동코드,행정동
0,강남구,서울대도초등학교,공립,62.0,2212.0,35.67741935483871,102.0,102.0,0.0,24.0,5.0,19.0,68.0,서울특별시 강남구 도곡동 106-1,서울특별시 강남구 선릉로 209,37.4926008,127.0533776,강남구,도곡동,1168011800,도곡동,1168065600,도곡2동
1,송파구,서울잠일초등학교,공립,58.0,1895.0,32.672413793103445,83.0,83.0,0.0,24.0,5.0,19.0,67.0,서울특별시 송파구 잠실동 19-1,서울특별시 송파구 올림픽로 95,37.5147399506,127.0816351,송파구,잠실동,1171010100,잠실동,1171067000,잠실2동
2,강남구,서울언북초등학교,공립,60.0,1895.0,31.583333333333332,96.0,95.0,1.0,29.0,5.0,24.0,67.0,서울특별시 강남구 청담동 27,서울특별시 강남구 삼성로135길 42,37.5201261,127.04471409999998,강남구,청담동,1168010400,청담동,1168056500,청담동
3,강남구,서울도성초등학교,공립,56.0,1840.0,32.857142857142854,90.0,88.0,2.0,27.0,5.0,22.0,59.0,서울특별시 강남구 역삼동 714,서울특별시 강남구 역삼로 313,37.5014628,127.0488738,강남구,역삼동,1168010100,역삼동,1168065000,역삼2동
4,강동구,서울명덕초등학교,공립,54.0,1778.0,32.925925925925924,79.0,79.0,0.0,24.0,6.0,18.0,55.0,서울특별시 강동구 고덕동 487-15,서울특별시 강동구 양재대로156길 11,37.556763,127.1450817,강동구,고덕동,1174010200,고덕동,1174055000,고덕제1동
5,강남구,서울대치초등학교,공립,46.0,1734.0,37.69565217391305,77.0,77.0,0.0,20.0,4.0,16.0,48.0,서울특별시 강남구 대치동 505,서울특별시 강남구 양재천로 363,37.4912788,127.0621966,강남구,대치동,1168010600,대치동,1168060000,대치1동
6,양천구,서울목운초등학교,공립,50.0,1704.0,34.08,78.0,78.0,0.0,20.0,3.0,17.0,74.0,서울특별시 양천구 목동 922,서울특별시 양천구 목동동로 235,37.5270112,126.87304509999998,양천구,목동,1147010200,목동,1147051000,목1동
7,강서구,서울신정초등학교,공립,75.0,1696.0,22.613333333333333,112.0,109.0,3.0,34.0,7.0,27.0,81.0,서울특별시 강서구 화곡동 869-42,서울특별시 강서구 곰달래로31가길 27,37.5320724,126.8523594,강서구,화곡동,1150010300,화곡동,1150055000,화곡제2동
8,은평구,서울역촌초등학교,공립,68.0,1678.0,24.676470588235293,93.0,93.0,0.0,29.0,7.0,22.0,77.0,서울특별시 은평구 역촌동 82-1,서울특별시 은평구 은평로3길 25,37.6015857,126.9139261,은평구,역촌동,1138010800,역촌동,1138062500,역촌동
9,노원구,서울을지초등학교,공립,57.0,1668.0,29.263157894736842,80.0,78.0,2.0,23.0,6.0,17.0,61.0,서울특별시 노원구 중계동 360,서울특별시 노원구 중계로 239,37.6505901,127.0730898,노원구,중계동,1135010600,중계동,1135062100,중계1동
10,강서구,서울공진초등학교,공립,56.0,1666.0,29.75,74.0,73.0,1.0,29.0,6.0,23.0,61.0,서울특별시 강서구 마곡동 730-676,서울특별시 강서구 마곡서로 33,37.55780479999999,126.822611,강서구,마곡동,1150010500,마곡동,1150062000,공항동
11,송파구,서울위례별초등학교,공립,68.0,1662.0,24.441176470588236,99.0,99.0,0.0,29.0,7.0,22.0,62.0,서울특별시 송파구 장지동 886,서울특별시 송파구 위례광장로 243,37.47908579999999,127.1450416,송파구,장지동,1171010900,장지동,1171064700,위례동
12,송파구,서울잠신초등학교,공립,52.0,1653.0,31.78846153846154,84.0,82.0,2.0,24.0,6.0,18.0,55.0,서울특별시 송파구 잠실동 22-4,서울특별시 송파구 잠실로 32,37.5141141,127.0879415,송파구,잠실동,1171010100,잠실동,1171067000,잠실2동
