,행정동코드,시군구명,읍면동명,유치원개수
0,1111053000,종로구,사직동,2.0
1,1111054000,종로구,삼청동,0.0
2,1111055000,종로구,부암동,2.0
3,1111056000,종로구,평창동,1.0
4,1111057000,종로구,무악동,1.0
5,1111058000,종로구,교남동,0.0
6,1111060000,종로구,가회동,1.0
7,1111061500,종로구,종로1.2.3.4가동,2.0
8,1111063000,종로구,종로5.6가동,2.0
9,1111064000,종로구,이화동,1.0
10,1111067000,종로구,창신제1동,0.0
11,1111068000,종로구,창신제2동,0.0
12,1111069000,종로구,창신제3동,1.0
13,1111070000,종로구,숭인제1동,1.0
14,1111071000,종로구,숭인제2동,0.0
15,1111051500,종로구,청운효자동,1.0
16,1111065000,종로구,혜화동,3.0
17,1114052000,중구,소공동,1.0
18,1114054000,중구,회현동,1.0
19,1114055000,중구,명동,0.0
20,1114057000,중구,필동,2.0
21,1114058000,중구,장충동,2.0
22,1114059000,중구,광희동,0.0
23,1114060500,중구,을지로동,1.0
24,1114065000,중구,신당제5동,1.0
25,1114067000,중구,황학동,0.0
26,1114068000,중구,중림동,1.0
27,1114061500,중구,신당동,1.0
28,1114062500,중구,다산동,1.0
29,1114063500,중구,약수동,1.0
30,1114064500,중구,청구동,2.0
31,1114066500,중구,동화동,0.0
32,1117051000,용산구,후암동,1.0
33,1117052000,용산구,용산2가동,0.0
34,1117053000,용산구,남영동,0.0
35,1117057000,용산구,원효로제2동,2.0
36,1117058000,용산구,효창동,0.0
37,1117059000,용산구,용문동,1.0
38,1117063000,용산구,이촌제1동,5.0
39,1117064000,용산구,이촌제2동,1.0
40,1117065000,용산구,이태원제1동,0.0
41,1117066000,용산구,이태원제2동,1.0
42,1117069000,용산구,서빙고동,2.0
43,1117070000,용산구,보광동,1.0
44,1117055500,용산구,청파동,2.0
45,1117056000,용산구,원효로제1동,2.0
46,1117062500,용산구,한강로동,0.0
47,1117068500,용산구,한남동,2.0
48,1120052000,성동구,왕십리제2동,2.0
49,1120054000,성동구,마장동,4.0
50,1120055000,성동구,사근동,2.0
51,1120056000,성동구,행당제1동,1.0
52,1120057000,성동구,행당제2동,1.0
53,1120058000,성동구,응봉동,2.0
54,1120059000,성동구,금호1가동,1.0
55,1120062000,성동구,금호4가동,1.0
56,1120065000,성동구,성수1가제1동,5.0
57,1120066000,성동구,성수1가제2동,0.0
58,1120067000,성동구,성수2가제1동,3.0
59,1120069000,성동구,성수2가제3동,1.0
60,1120072000,성동구,송정동,2.0
61,1120079000,성동구,용답동,1.0
62,1120053500,성동구,왕십리도선동,6.0
63,1120061500,성동구,금호2.3가동,1.0
64,1120064500,성동구,옥수동,5.0
65,1121571000,광진구,화양동,2.0
66,1121573000,광진구,군자동,3.0
67,1121574000,광진구,중곡제1동,3.0
68,1121575000,광진구,중곡제2동,1.0
69,1121576000,광진구,중곡제3동,5.0
70,1121577000,광진구,중곡제4동,1.0
71,1121578000,광진구,능동,2.0
72,1121585000,광진구,구의제1동,3.0
73,1121586000,광진구,구의제2동,3.0
74,1121587000,광진구,구의제3동,2.0
75,1121581000,광진구,광장동,5.0
76,1121582000,광진구,자양제1동,4.0
77,1121583000,광진구,자양제2동,4.0
78,1121584000,광진구,자양제3동,3.0
79,1121584700,광진구,자양제4동,2.0
80,1123071000,동대문구,회기동,2.0
81,1123072000,동대문구,휘경제1동,1.0
82,1123073000,동대문구,휘경제2동,3.0
83,1123070500,동대문구,청량리동,2.0
84,1123053600,동대문구,용신동,2.0
85,1123054500,동대문구,제기동,4.0
86,1123056000,동대문구,전농제1동,1.0
87,1123057000,동대문구,전농제2동,4.0
88,1123061000,동대문구,답십리제2동,3.0
89,1123065000,동대문구,장안제1동,3.0
90,1123066000,동대문구,장안제2동,3.0
91,1123074000,동대문구,이문제1동,3.0
92,1123075000,동대문구,이문제2동,2.0
93,1123060000,동대문구,답십리제1동,2.0
94,1126052000,중랑구,면목제2동,6.0
95,1126054000,중랑구,면목제4동,2.0
96,1126055000,중랑구,면목제5동,0.0
97,1126057000,중랑구,면목제7동,2.0
98,1126058000,중랑구,상봉제1동,3.0
99,1126059000,중랑구,상봉제2동,1.0
100,1126060000,중랑구,중화제1동,6.0
101,1126061000,중랑구,중화제2동,2.0
102,1126062000,중랑구,묵제1동,3.0
103,1126063000,중랑구,묵제2동,1.0
104,1126066000,중랑구,망우제3동,1.0
105,1126068000,중랑구,신내1동,2.0
106,1126069000,중랑구,신내2동,4.0
107,1126056500,중랑구,면목본동,2.0
108,1126057500,중랑구,면목제3.8동,2.0
109,1126065500,중랑구,망우본동,5.0
110,1129058000,성북구,돈암제1동,2.0
111,1129059000,성북구,돈암제2동,6.0
112,1129060000,성북구,안암동,1.0
113,1129061000,성북구,보문동,5.0
114,1129062000,성북구,정릉제1동,2.0
115,1129063000,성북구,정릉제2동,0.0
116,1129064000,성북구,정릉제3동,1.0
117,1129065000,성북구,정릉제4동,3.0
118,1129066000,성북구,길음제1동,5.0
119,1129068500,성북구,길음제2동,2.0
120,1129071500,성북구,월곡제1동,1.0
121,1129072500,성북구,월곡제2동,2.0
122,1129076000,성북구,장위제1동,2.0
123,1129077000,성북구,장위제2동,1.0
124,1129078000,성북구,장위제3동,2.0
125,1129052500,성북구,성북동,3.0
126,1129055500,성북구,삼선동,1.0
127,1129057500,성북구,동선동,3.0
128,1129070500,성북구,종암동,5.0
129,1129081000,성북구,석관동,4.0
130,1130559500,강북구,번1동,1.0
131,1130560300,강북구,번2동,1.0
132,1130560800,강북구,번3동,2.0
133,1130561500,강북구,수유1동,2.0
134,1130562500,강북구,수유2동,3.0
135,1130563500,강북구,수유3동,1.0
136,1130553400,강북구,삼양동,3.0
137,1130553500,강북구,미아동,2.0
138,1130554500,강북구,송중동,5.0
139,1130555500,강북구,송천동,0.0
140,1130557500,강북구,삼각산동,1.0
141,1130564500,강북구,우이동,1.0
142,1130566000,강북구,인수동,2.0
143,1132066000,도봉구,쌍문제1동,4.0
144,1132067000,도봉구,쌍문제2동,1.0
145,1132068000,도봉구,쌍문제3동,1.0
146,1132068100,도봉구,쌍문제4동,4.0
147,1132069000,도봉구,방학제1동,1.0
148,1132070000,도봉구,방학제2동,0.0
149,1132071000,도봉구,방학제3동,4.0
150,1132051100,도봉구,창제1동,1.0
151,1132051200,도봉구,창제2동,1.0
152,1132051300,도봉구,창제3동,2.0
153,1132051400,도봉구,창제4동,3.0
154,1132051500,도봉구,창제5동,2.0
155,1132052100,도봉구,도봉제1동,3.0
156,1132052200,도봉구,도봉제2동,3.0
157,1135056000,노원구,월계1동,2.0
158,1135057000,노원구,월계2동,5.0
159,1135058000,노원구,월계3동,3.0
160,1135060000,노원구,공릉2동,7.0
161,1135061100,노원구,하계1동,6.0
162,1135061200,노원구,하계2동,2.0
163,1135061900,노원구,중계본동,4.0
164,1135062100,노원구,중계1동,2.0
165,1135062400,노원구,중계4동,2.0
166,1135063000,노원구,상계1동,5.0
167,1135064000,노원구,상계2동,3.0
168,1135067000,노원구,상계5동,0.0
169,1135070000,노원구,상계8동,3.0
170,1135071000,노원구,상계9동,2.0
171,1135072000,노원구,상계10동,3.0
172,1135066500,노원구,상계3.4동,4.0
173,1135069500,노원구,상계6.7동,5.0
174,1135062500,노원구,중계2.3동,5.0
175,1135059500,노원구,공릉1동,6.0
