,gid,행정동코드,시군구명,행정동,학교명,학교개수,초등학생_인구,30대_인구,40대_인구,전체_인구,경도,위도,geometry,돌봄 틈새공백 인구,지역별 돌봄 틈새공백 인구 비율,돌봄틈새공백 분위
0,다사41ab48ba,1150054000,강서구,화곡제1동,['서울신원초등학교' '서울월정초등학교' '서울신월초등학교'],3,125.0,310.0,359.0,2085.0,126.83644010343474,37.535079712230804,POINT (126.8364401034347 37.5350797122308),0.44103293195198473,0.0035282634556158777,10
1,다사41ab48bb,1150054000,강서구,화곡제1동,['서울강신초등학교' '서울월정초등학교' '서울신월초등학교'],3,64.0,353.0,360.0,2006.0,126.83642013678056,37.537332963537494,POINT (126.8364201367806 37.53733296353749),0.2501379136461273,0.003908404900720739,4
2,다사41ab49aa,1150054000,강서구,화곡제1동,['서울강신초등학교' '서울월정초등학교' '서울신월초등학교'],3,104.0,430.0,403.0,2288.0,126.83640016790274,37.53958621397317,POINT (126.8364001679027 37.53958621397317),0.416354505437623,0.0040034087061309905,9
3,다사41ba48aa,1150054000,강서구,화곡제1동,['서울신원초등학교' '서울신강초등학교' '서울월정초등학교'],3,68.0,559.0,397.0,2535.0,126.8393093668829,37.530589069924936,POINT (126.8393093668829 37.53058906992494),0.28198745589064395,0.004146874351332999,4
4,다사41ba48ab,1150054000,강서구,화곡제1동,['서울신강초등학교' '서울월정초등학교' '서울신월초등학교'],3,64.0,493.0,350.0,2542.0,126.83928948978159,37.532842324256826,POINT (126.8392894897816 37.53284232425683),0.2333850056633923,0.0036466407134905046,3
5,다사41ba48ba,1150054000,강서구,화곡제1동,['서울월정초등학교' '서울신월초등학교'],2,143.0,479.0,482.0,2890.0,126.83926961046664,37.535095577717826,POINT (126.8392696104666 37.53509557771783),0.5228806018254768,0.0036565077050732643,10
6,다사41ba48bb,1150054000,강서구,화곡제1동,['서울화일초등학교' '서울월정초등학교' '서울신월초등학교'],3,85.0,523.0,396.0,2628.0,126.83924972893777,37.53734883030793,POINT (126.8392497289378 37.53734883030793),0.3268511551788378,0.0038453077079863267,7
7,다사41ba49aa,1150054000,강서구,화곡제1동,['서울화일초등학교' '서울화곡초등학교' '서울월정초등학교' '서울신월초등학교'],4,92.0,517.0,419.0,2553.0,126.83922984519475,37.53960208202711,POINT (126.8392298451948 37.53960208202711),0.3708974173873455,0.004031493667253755,7
8,다사41bb47bb,1150054000,강서구,화곡제1동,['서울강서초등학교' '서울신강초등학교' '서울양강초등학교' '서울양동초등학교'],4,63.0,983.0,584.0,3839.0,126.84215849569675,37.52835160858734,POINT (126.8421584956968 37.52835160858734),0.28276938143491837,0.0044884028799193395,5
9,다사41bb48aa,1150054000,강서구,화곡제1동,['서울신강초등학교' '서울월정초등학교'],2,85.0,1209.0,758.0,4878.0,126.84213870590597,37.530604865067815,POINT (126.842138705906 37.53060486506782),0.3768967891722874,0.004434079872615146,8
10,다사41bb48ab,1150054000,강서구,화곡제1동,['서울신강초등학교' '서울월정초등학교' '서울신월초등학교'],3,78.0,648.0,468.0,3286.0,126.84211891391129,37.5328581206775,POINT (126.8421189139113 37.5328581206775),0.29129443393864635,0.0037345440248544404,5
11,다사41bb48ba,1150054000,강서구,화곡제1동,['서울화일초등학교' '서울월정초등학교' '서울신월초등학교'],3,105.0,634.0,604.0,3608.0,126.84209911971244,37.535111375416356,POINT (126.8420991197124 37.53511137541636),0.3961725336122493,0.0037730717486880888,9
12,다사41bb48bb,1150054000,강서구,화곡제1동,['서울화일초등학교' '서울화곡초등학교' '서울월정초등학교' '서울신월초등학교'],4,58.0,438.0,288.0,2040.0,126.84207932330916,37.53736462928439,POINT (126.8420793233092 37.53736462928439),0.22697362552625955,0.003913338371142406,2
13,다사42aa47bb,1150054000,강서구,화곡제1동,['서울강서초등학교' '서울신강초등학교' '서울양강초등학교' '서울양동초등학교' '서울신정초등학교'],5,50.0,606.0,427.0,2603.0,126.84498775182634,37.528367334680325,POINT (126.8449877518263 37.52836733468033),0.21819113716732375,0.0043638227433464745,2
14,다사42aa48aa,1150054000,강서구,화곡제1동,['서울신강초등학교' '서울양강초등학교' '서울양동초등학교' '서울신정초등학교'],4,72.0,1168.0,613.0,4422.0,126.84496804713294,37.53062059243302,POINT (126.8449680471329 37.53062059243302),0.3188736446296564,0.004428800619856339,6
15,다사42aa48ab,1150054000,강서구,화곡제1동,['서울신강초등학교' '서울신정초등학교' '서울월정초등학교'],3,22.0,395.0,336.0,2107.0,126.84494834024515,37.532873849314996,POINT (126.8449483402452 37.532873849315),0.08392985449054954,0.0038149933859340703,1
16,다사42ab47bb,1150054000,강서구,화곡제1동,['서울신강초등학교' '서울양강초등학교' '서울양동초등학교' '서울신정초등학교'],4,0.0,53.0,39.0,247.0,126.84781701015005,37.528382993000925,POINT (126.8478170101501 37.52838299300092),0.0,0.0,1
