"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),사례수 (명),교과목 학원 (%),교과목 학원 (%),교과목 학원 (%),교과목 학원 (%),교과목 학원 (%),예체능 학원 (%),예체능 학원 (%),예체능 학원 (%),예체능 학원 (%),예체능 학원 (%)
"특성별(1)",특성별(2),소계,0개,1개,2개,3개,4개 이상,0개,1개,2개,3개,4개 이상
"전체",소계,8290,30.7,30.2,25.4,8.6,5.1,48.6,33.2,12.4,4.0,1.7
"성별",남자,4183,32.0,29.5,24.2,8.9,5.3,48.0,34.1,12.5,3.6,1.8
"성별",여자,4107,29.2,31.0,26.7,8.2,4.9,49.3,32.1,12.4,4.5,1.6
"교급별",초등1년~초등3년,2676,45.0,31.6,15.2,5.6,2.6,23.8,42.6,23.5,7.6,2.5
"교급별",초등4년~초등6년,2934,23.0,31.0,26.7,11.7,7.7,48.2,34.7,11.3,3.7,2.1
"교급별",중등1년~중등3년,2680,24.8,27.6,33.7,8.6,5.3,74.2,22.5,2.4,0.5,0.3
"지역별",서울,1297,25.0,26.4,25.8,13.4,9.5,43.0,29.3,16.2,7.8,3.6
"지역별",인천/경기,2476,32.0,30.0,25.1,8.3,4.6,46.7,34.1,13.3,3.7,2.2
"지역별",대전/충청/세종/강원,1267,36.3,31.2,22.3,6.1,4.2,52.4,35.0,9.5,2.7,0.5
"지역별",광주/전라/제주,1178,36.2,28.7,24.2,7.3,3.6,53.0,35.1,9.5,1.7,0.7
"지역별",부산/울산/경남,1191,26.9,31.9,28.0,8.6,4.6,47.5,36.3,11.1,3.8,1.4
"지역별",대구/경북,881,25.1,33.6,27.0,8.7,5.6,48.7,30.0,15.8,4.4,1.0
"지역형태별",동부,6602,28.7,29.5,26.4,9.4,6.0,47.6,32.9,13.0,4.6,1.9
"지역형태별",읍면부,1688,38.4,32.6,20.6,6.1,2.3,50.5,35.9,11.1,1.7,0.7
