"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),사례수 (명),나 혼자  (%),나+형제·자매(친구)만  (%),나+엄마만 (%),나+아빠만 (%),나+할머니(할아버지)만 (%),나+친척 등 어른 보호자 (%),나+우리 가족 전체  (%),기타 (%)
"전체",소계,8553,11.3,10.4,20.6,2.0,4.2,1.4,39.2,10.9
"성별",남자,4317,11.6,10.2,20.9,2.3,4.6,1.7,38.1,10.6
"성별",여자,4236,11.0,10.7,20.3,1.6,3.7,1.2,40.3,11.1
"교급별",초등1년~초등3년,2848,4.7,10.9,29.4,1.7,6.6,1.9,34.9,9.9
"교급별",초등4년~초등6년,2990,11.2,12.1,17.9,2.4,4.0,1.4,36.7,14.3
"교급별",중등1년~중등3년,2715,18.2,8.3,14.4,1.8,1.4,1.1,46.5,8.4
"지역별",서울,1317,10.2,7.7,23.0,1.5,6.1,2.6,38.0,10.9
"지역별",인천/경기,2553,10.7,11.4,21.5,1.6,4.2,1.2,38.0,11.4
"지역별",대전/충청/세종/강원,1318,13.3,10.9,19.5,2.0,3.4,1.3,38.8,10.7
"지역별",광주/전라/제주,1242,12.2,13.0,17.4,1.6,2.9,0.7,42.4,9.7
"지역별",부산/울산/경남,1215,11.1,9.2,20.4,3.5,3.6,1.2,38.2,12.8
"지역별",대구/경북,908,10.4,9.6,21.0,2.1,3.7,2.2,41.7,9.3
"지역형태별",동부,6782,11.5,10.1,21.2,2.0,4.2,1.5,38.4,11.1
"지역형태별",읍면부,1771,10.4,12.2,18.5,1.9,3.3,1.2,42.3,10.3
