"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),사례수 (명),오후 2시 이전 (%),오후 2시~2시 29분 (%),오후 2시 30분~2시 59분 (%),오후 3시~3시 29분 (%),오후 3시 30분~3시 59분 (%),오후 4시~4시 29분 (%),오후 4시 30분~4시 59분 (%),오후 5시~5시 29분 (%),오후 5시 30분~5시 59분 (%),저녁 6시~6시 29분 (%),저녁 6시 30분~6시 59분 (%),저녁 7시~7시 29분 (%),저녁 7시30분~7시 59분 (%),저녁 8시~8시 29분 (%),저녁 8시 30분~8시 59분 (%),저녁 9시~9시 29분 (%),저녁 9시 30분~9시 59분 (%),저녁 10시 이후 (%)
"전체",소계,8526,6.9,6.4,3.5,4.9,11.9,12.3,4.7,5.3,9.5,10.2,3.1,3.1,5.6,4.9,2.0,1.6,2.1,2.1
"성별",남자,4306,7.3,6.5,3.4,4.7,12.7,11.0,4.6,4.9,8.7,10.1,2.8,3.1,5.9,5.9,1.7,1.8,2.4,2.6
"성별",여자,4220,6.6,6.0,3.6,5.1,11.4,13.3,4.7,5.7,9.7,9.8,3.4,3.0,5.3,4.4,2.5,1.5,2.1,2.0
"교급별",초등1년~초등3년,2814,12.2,9.3,4.4,7.0,12.8,15.0,6.2,6.9,9.8,9.7,2.4,1.3,2.0,0.8,0.1,0.1,0.3,0.1
"교급별",초등4년~초등6년,2996,7.8,8.1,5.1,4.1,8.5,11.2,4.3,6.1,12.5,12.2,3.1,3.8,5.9,3.0,1.1,1.2,1.2,0.7
"교급별",중등1년~중등3년,2716,0.5,1.4,1.0,3.5,14.7,10.6,3.7,2.8,5.8,8.4,3.9,4.2,9.0,11.3,4.8,3.6,5.0,5.7
"지역별",서울,1315,8.4,5.3,3.7,5.2,12.1,11.4,3.8,4.7,7.4,9.8,2.8,3.5,5.2,4.6,2.3,1.6,3.1,5.1
"지역별",인천/경기,2538,9.0,7.1,4.3,6.0,12.1,11.0,4.2,5.3,8.5,8.9,2.4,2.7,5.8,5.7,1.8,1.4,2.5,1.5
"지역별",대전/충청/세종/강원,1315,6.1,9.4,3.8,4.6,13.2,13.4,4.7,4.1,10.3,8.6,3.7,2.4,5.1,3.7,1.9,1.3,1.3,2.4
"지역별",광주/전라/제주,1235,4.8,4.5,2.6,3.7,11.3,12.6,4.2,6.3,11.3,13.0,4.5,4.0,6.2,4.7,2.4,1.5,1.2,1.2
"지역별",부산/울산/경남,1217,4.2,4.9,2.9,3.7,12.6,13.0,5.4,6.5,10.3,12.6,3.5,3.1,4.9,5.8,1.6,2.1,1.8,1.2
"지역별",대구/경북,906,6.8,5.9,3.0,5.0,9.3,14.0,7.2,4.9,10.3,9.3,2.4,3.5,6.7,4.2,1.8,2.0,2.3,1.6
"지역형태별",동부,6763,7.3,6.0,3.6,4.9,11.6,11.8,4.5,5.0,9.0,10.1,3.2,3.3,5.8,5.3,2.2,1.7,2.4,2.5
"지역형태별",읍면부,1763,5.4,7.9,3.2,4.6,13.3,14.0,5.7,6.5,11.1,10.3,3.0,2.4,4.9,3.5,1.3,1.4,0.9,0.8
