,공원명,위도,경도,지역,공원주소,동
0,남산도시자연공원,37.5501402,126.9903773,중구,서울특별시 중구 삼일대로 231(예장동),삼일대로
1,길동생태공원,37.5403935,127.1547791,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,천호대로
2,서울대공원,37.4264494,127.01984650000001,과천시,경기도 과천시 대공원광장로 102,주의!!경기도 과천시 대공원광장로 102
3,서울숲,37.5430717,127.0417982,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,뚝섬로
4,월드컵공원,37.571805,126.87890700000001,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),하늘공원로
5,광화문시민열린마당,37.575044899999995,126.9780227,종로구,서울특별시 종로구 세종로 76-2,세종로
6,진관근린공원(구파발폭포),37.6370244,126.9192155,은평구,서울특별시 은평구 진관동 393,진관동
7,중마루근린공원,37.519832,126.9112668,영등포구,서울특별시 영등포구 영등포동2가 222,영등포동2가
8,응봉공원,37.5572281,127.0217653,성동구,서울특별시 성동구 금호동1가 산1-72,금호동1가
9,매화근린공원,37.5575833,126.86115,강서구,서울특별시 강서구 등촌동 630-14,등촌동
10,성수근린공원,37.5448144,127.05240230000001,성동구,서울특별시 성동구 성수2가 3동 302-25,성수2가
11,샛마을근린공원,37.5504807,127.1471618,강동구,서울특별시 강동구 명일1동 288,명일1동
12,여의도근린공원,37.526129,126.922377,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),여의공원로
13,간데메근린공원,37.57324379999999,127.04886440000001,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),서울시립대로2길
14,훈련원근린공원,37.5675245,127.0038188,중구,서울특별시 중구 을지로 227,을지로
15,영등포근린공원,37.515423,126.91066200000002,영등포구,서울특별시 영등포구 신길로 275,신길로
16,보라매근린공원,37.492333,126.91828899999999,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),여의대방로20길
17,어린이대공원,37.5498987,127.0809212,광진구,서울특별시 광진구 능동로 216(어린이대공원),능동로
18,천호근린공원,37.5444741,127.1263451,강동구,서울특별시 강동구 올림픽로 702(천호공원),올림픽로
19,용산가족공원,37.522226,126.98333500000001,용산구,서울특별시 용산구 서빙고로 185,서빙고로
20,독립근린공원,37.5738289,126.956771,서대문구,서울특별시 서대문구 통일로251(독립공원),주의!!서울특별시 서대문구 통일로251(독립공원)
21,낙산근린공원,37.580477,127.00758700000002,종로구,서울특별시 종로구 낙산길 41 (우) 03085,낙산길
22,양재시민의숲,37.471225,127.03504199999999,서초구,서울특별시 서초구 매헌로 99 (양재동),매헌로
23,관악산도시자연공원,37.445208,126.96413000000001,관악구,서울특별시 관악구 관악로 1(관악산공원),관악로
24,효창근린공원,37.545234,126.95993,용산구,서울특별시 용산구 효창원로 177-18,효창원로
25,감로천생태공원(관악산),37.469625,126.9079509,금천구,서울특별시 금천구 독산4동 371?375 373일대,독산4동
26,개운산근린공원,37.596583700000004,127.0252858,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),북악산로
27,개웅산근린공원,37.4888943,126.84857340000002,구로구,서울특별시 구로구 오류동 산13-1,오류동
28,경희궁,37.570772999999996,126.9685341,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),새문안로
29,국립현충원,37.4998621,126.97368490000001,동작구,서울특별시 동작구 사당2동 산41-2,사당2동
30,계남근린공원,37.513835799999995,126.84796429999999,양천구,서울특별시 양천구 신정동 산44-2일대,신정동
31,고척근린공원,37.5042944,126.85214950000001,구로구,서울특별시 구로구 고척로45길 39(고척공원),고척로45길
32,파리근린공원,37.5349739,126.87639320000001,양천구,서울특별시 양천구 목동동로 363 ,목동동로
33,허준공원,37.5679874,126.8526745,강서구,서울특별시 강서구 허준로5길 42,허준로5길
34,궁동근린공원,37.5690506,126.9229851,서대문구,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,성산로7길
35,궁산근린공원,37.5735645,126.838952,강서구,서울특별시 강서구 가양동 산4-7,가양동
36,까치산근린공원,37.4845836,126.96407350000001,동작구,서울특별시 동작구 사당동 산32,사당동
37,꿩고개근린공원,37.5801585,126.8157075,강서구,서울특별시 강서구 방화동 산110,방화동
38,노량진공원,37.510234000000004,126.928607,동작구,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),여의대방로
39,답십리근린공원,37.5750896,127.0626512,동대문구,서울특별시 동대문구 답십리로 209(답십리공원) ,답십리로
