,구동,행정동코드,시군구명,읍면동명,동,동인구수,체육시설 수,어린이보호구역
0,강남구개포1동,1168066000,강남구,개포1동,개포1동,"6,853",0.0,0
1,강남구개포2동,1168067000,강남구,개포2동,개포2동,"22,540",0.0,0
2,강남구개포4동,1168069000,강남구,개포4동,개포4동,"18,216",0.0,0
3,강남구논현1동,1168052100,강남구,논현1동,논현1동,"23,916",0.0,0
4,강남구논현2동,1168053100,강남구,논현2동,논현2동,"21,851",0.0,0
5,강남구대치1동,1168060000,강남구,대치1동,대치1동,"25,141",0.0,0
6,강남구대치2동,1168061000,강남구,대치2동,대치2동,"38,310",0.0,0
7,강남구대치4동,1168063000,강남구,대치4동,대치4동,"20,744",0.0,0
8,강남구도곡1동,1168065500,강남구,도곡1동,도곡1동,"22,510",0.0,0
9,강남구도곡2동,1168065600,강남구,도곡2동,도곡2동,"34,379",0.0,0
10,강남구삼성1동,1168058000,강남구,삼성1동,삼성1동,"14,924",0.0,0
11,강남구삼성2동,1168059000,강남구,삼성2동,삼성2동,"30,534",0.0,0
12,강남구세곡동,1168070000,강남구,세곡동,세곡동,"44,997",0.0,4
13,강남구수서동,1168075000,강남구,수서동,수서동,"15,689",6.0,3
14,강남구신사동,1168051000,강남구,신사동,신사동,"17,270",0.0,7
15,강남구압구정동,1168054500,강남구,압구정동,압구정동,"27,804",0.0,0
16,강남구역삼1동,1168064000,강남구,역삼1동,역삼1동,"36,921",0.0,0
17,강남구역삼2동,1168065000,강남구,역삼2동,역삼2동,"37,557",2.0,0
18,강남구일원1동,1168073000,강남구,일원1동,일원1동,"16,178",1.0,0
19,강남구일원2동,1168074000,강남구,일원2동,일원2동,"18,017",0.0,0
20,강남구일원본동,1168072000,강남구,일원본동,일원본동,"24,209",0.0,0
21,강남구청담동,1168056500,강남구,청담동,청담동,"27,598",1.0,7
22,강동구강일동,1174051500,강동구,강일동,강일동,"31,866",1.0,2
23,강동구고덕1동,1174055000,강동구,고덕제1동,고덕1동,"26,536",1.0,5
24,강동구고덕2동,1174056000,강동구,고덕제2동,고덕2동,"21,306",0.0,5
25,강동구길동,1174068500,강동구,길동,길동,"46,950",0.0,10
26,강동구둔촌1동,1174069000,강동구,둔촌제1동,둔촌1동,274,0.0,3
27,강동구둔촌2동,1174070000,강동구,둔촌제2동,둔촌2동,"27,292",0.0,5
28,강동구명일1동,1174053000,강동구,명일제1동,명일1동,"26,550",1.0,2
