,지역교육청,행정구역,학제,학교명,설립유형,학급수,학생수,교원
849,중부,종로구,초등학교,상명대학교사범대학부속초등학교,사립,12,285,14
850,중부,종로구,초등학교,서울교동초등학교,공립,11,174,20
851,중부,종로구,초등학교,서울대학교사범대학부설초등학교,국립,31,622,48
852,중부,종로구,초등학교,서울독립문초등학교,공립,27,495,46
853,중부,종로구,초등학교,서울매동초등학교,공립,16,270,28
854,중부,종로구,초등학교,서울명신초등학교,공립,20,389,30
855,중부,종로구,초등학교,서울세검정초등학교,공립,37,857,62
856,중부,종로구,초등학교,서울재동초등학교,공립,12,208,21
857,중부,종로구,초등학교,서울창신초등학교,공립,30,533,51
858,중부,종로구,초등학교,서울청운초등학교,공립,27,585,41
859,중부,종로구,초등학교,서울혜화초등학교,공립,30,613,43
860,중부,종로구,초등학교,서울효제초등학교,공립,15,228,28
861,중부,종로구,초등학교,운현초등학교,사립,6,169,8
862,중부,중구,초등학교,동산초등학교,사립,18,533,24
863,중부,중구,초등학교,리라초등학교,사립,20,503,24
864,중부,중구,초등학교,서울광희초등학교,공립,19,307,32
865,중부,중구,초등학교,서울남산초등학교,공립,12,169,26
866,중부,중구,초등학교,서울덕수초등학교,공립,23,486,38
867,중부,중구,초등학교,서울봉래초등학교,공립,21,416,35
868,중부,중구,초등학교,서울신당초등학교,공립,18,320,30
869,중부,중구,초등학교,서울장충초등학교,공립,25,485,44
870,중부,중구,초등학교,서울청구초등학교,공립,36,713,64
871,중부,중구,초등학교,서울충무초등학교,공립,15,260,27
872,중부,중구,초등학교,서울흥인초등학교,공립,21,380,35
873,중부,중구,초등학교,숭의초등학교,사립,18,569,22
874,중부,용산구,초등학교,서울금양초등학교,공립,36,742,54
875,중부,용산구,초등학교,서울남정초등학교,공립,22,423,34
876,중부,용산구,초등학교,서울보광초등학교,공립,24,332,37
877,중부,용산구,초등학교,서울삼광초등학교,공립,22,451,37
878,중부,용산구,초등학교,서울서빙고초등학교,공립,22,470,35
879,중부,용산구,초등학교,서울신용산초등학교,공립,62,1683,94
880,중부,용산구,초등학교,서울용산초등학교,공립,15,290,26
881,중부,용산구,초등학교,서울용암초등학교,공립,14,165,26
