,행정동코드,행정동명,5559세_(여),5559세_(남),5054세_(남),5054세_(여),4549세_(남),4549세_(여),4044세_(남),4044세_(여),3539세_(남),3539세_(여),3034세_(남),3034세_(여),2529세_(남),2529세_(여),2024세_(남),2024세_(여),1519세_(남),1519세_(여),1014세_(남),1014세_(여),0509세_(여),0509세_(남),초등학생 30대 부모 맞벌이지수(동별인구*맞벌이인구),초등학생 40대 부모 맞벌이지수(동별인구*맞벌이인구)
0,1117051000,후암동,757,709,722,763,745,782,601,653,737,717,731,661,783,748,540,524,422,330,310,270,266,299,3307851,4589315
1,1159053000,상도1동,1691,1439,1535,1723,1716,1678,1616,1657,1580,1713,1632,1533,2631,2201,2346,2649,977,908,792,773,839,880,9007917,10808805
2,1111070000,숭인1동,288,305,254,293,292,258,216,202,238,209,201,197,228,225,184,179,102,114,85,92,94,98,956418,1512670
3,1111061500,종로1.2.3.4가동,251,549,431,164,341,218,242,157,255,207,252,191,308,212,142,195,59,66,58,41,46,54,1129840,1443160
4,1117057000,원효로2동,547,586,569,634,633,640,530,576,569,530,499,489,501,530,385,471,292,440,230,341,267,271,2277327,3831325
5,1114065000,신당5동,448,461,509,457,431,419,405,358,456,417,437,462,458,531,320,361,170,172,131,127,174,163,2013454,2710890
6,1111051500,청운효자동,464,440,512,599,546,615,429,600,430,517,379,418,399,432,396,395,366,274,288,294,243,274,1913901,3432470
7,1117064000,이촌2동,402,314,332,358,315,332,297,301,446,381,327,371,275,289,215,225,146,135,126,121,113,133,1484491,2277280
8,1132051100,창1동,1090,948,1029,1209,1135,1228,944,955,931,978,799,823,886,863,819,854,610,596,546,523,473,505,3946730,6715990
9,1117066000,이태원2동,365,286,292,339,352,393,309,357,415,411,434,432,421,442,260,244,151,135,90,136,118,108,1915013,2439470
10,1147060000,신월5동,678,638,607,684,598,628,570,570,623,539,532,517,644,559,467,463,398,344,318,303,297,301,2580772,3957105
11,1168063000,대치4동,640,636,993,956,1066,1334,702,1016,720,963,800,901,864,1019,770,783,873,736,510,405,247,246,3971376,6242660
12,1126058000,상봉1동,1196,1135,1071,1138,917,1022,852,873,978,941,914,905,963,1050,868,800,591,535,490,449,479,560,4226805,6164875
13,1144060000,대흥동,418,510,554,509,591,543,461,465,562,538,590,561,835,851,619,891,275,277,215,166,154,166,2993231,3361305
14,1126063000,묵2동,886,802,775,772,758,780,715,690,876,722,794,742,794,853,551,590,341,335,315,286,265,328,3468202,5065955
15,1159068000,신대방2동,675,611,702,705,873,877,746,790,814,867,847,845,966,1239,602,722,439,444,439,426,421,436,4040016,5340685
16,1123061000,답십리2동,1328,1246,1235,1285,1228,1193,1059,1021,1194,1103,1135,1105,1124,1132,884,905,603,588,464,483,463,482,5049442,7392885
17,1114067000,황학동,442,461,465,441,447,466,456,474,721,662,709,779,597,790,297,446,166,154,100,122,144,177,3039135,3503635
18,1153075000,개봉2동,1376,1209,1093,1250,1234,1230,1291,1173,1386,1285,1079,1108,1054,1024,890,890,667,655,545,567,559,629,5056658,8407400
19,1165062100,방배4동,829,736,952,987,1072,1231,862,1151,830,1048,784,995,774,1020,648,815,649,745,558,677,504,496,3977928,6742470
20,1168073000,일원1동,706,653,592,675,584,566,558,525,634,546,584,558,684,678,514,455,426,328,289,231,213,212,2742372,3778365
21,1144072000,성산1동,698,629,741,786,875,968,774,858,882,915,796,904,864,999,629,705,438,383,333,367,292,318,3924630,5762710
22,1141056500,충현동,737,749,751,791,694,671,600,598,598,617,672,679,893,936,605,670,360,324,229,282,211,215,3355387,4082885
23,1162065500,신원동,669,589,618,615,661,585,623,522,771,600,1084,809,1533,1296,692,877,275,253,187,197,187,174,4915437,4139155
24,1144055500,아현동,984,938,874,969,946,947,1070,1034,1438,1403,981,1349,767,1001,604,716,369,412,393,428,651,532,4830667,7429295
25,1130561500,수유1동,977,935,857,955,900,787,759,635,789,654,749,636,912,855,657,698,405,390,316,291,314,295,3454566,4915350
26,1150055000,화곡2동,783,653,699,753,845,842,772,761,867,815,731,663,753,751,559,538,414,414,354,354,357,402,3353601,5365510
27,1123056000,전농1동,1231,1306,1255,1183,1238,1184,1088,957,1229,1119,1085,1031,1316,1182,1069,1107,572,607,453,414,484,490,5264170,7377990
28,1171053200,거여2동,718,656,746,755,728,788,572,599,675,591,507,495,509,479,452,435,458,365,318,299,286,305,2362117,4359270
29,1174055000,고덕1동,887,837,960,866,1376,1215,1366,1492,1139,1280,650,804,687,555,702,584,795,613,1181,854,962,1098,3745221,8625860
30,1121571000,화양동,461,525,585,526,638,505,574,489,848,771,1422,1265,2489,2718,1457,2619,238,316,121,125,124,116,7418227,3998480
31,1153053000,구로2동,1187,1259,1217,1142,1130,1055,828,655,818,645,791,692,967,913,716,681,451,388,320,302,285,292,3630497,5554180
32,1121581000,광장동,1090,1196,1536,1518,2104,2198,1530,2030,1024,1410,732,878,931,971,1113,1120,1277,1289,1592,1447,1182,1250,4421885,11224210
33,1150060300,가양1동,1137,1001,1022,1096,1172,1087,1188,1096,1785,1644,2348,2285,1978,3643,861,1794,536,621,460,384,465,488,9261848,8533180
34,1171051000,풍납1동,719,611,582,614,564,545,489,471,545,507,546,493,524,430,423,417,283,247,220,218,147,197,2342104,3392750
35,1168052100,논현1동,681,665,711,742,905,884,983,1080,1317,1472,1446,1713,1504,1725,629,884,258,295,194,190,174,180,6907094,7056920
36,1147053000,목3동,1026,868,850,1012,792,939,788,783,1013,985,1013,1072,993,1156,803,697,530,422,324,287,306,341,4572195,5830565
37,1117069000,서빙고동,505,493,616,605,705,749,503,578,393,436,335,372,432,438,490,461,434,427,342,327,257,254,1805382,3679065
38,1114052000,소공동,62,68,89,91,106,92,133,128,108,118,102,104,52,80,32,47,15,44,20,37,63,55,395156,762955
39,1156060500,문래동,954,1006,1080,1063,1466,1309,1499,1550,1630,1674,1285,1441,969,1190,817,774,696,659,818,756,846,906,5801295,9910140
40,1141071000,북가좌1동,770,699,749,794,914,844,756,827,661,734,542,597,559,592,493,549,464,474,580,473,375,431,2711987,5110640
41,1117063000,이촌1동,1037,947,1213,1297,1238,1489,1040,1293,995,1242,708,889,739,778,755,760,745,701,759,778,810,854,3931451,7972135
42,1111069000,창신3동,332,324,312,337,271,292,210,214,249,235,225,281,273,254,243,203,152,146,119,139,90,101,1158729,1597075
43,1159066000,대방동,1326,1324,1636,1580,1835,1942,1433,1625,1341,1392,1388,1449,1712,1964,1353,1524,1172,1177,924,1029,774,760,6867826,10494355
44,1171067000,잠실2동,883,932,1616,1303,2288,2244,1926,2427,1169,1819,603,855,656,720,894,1065,1278,1350,1714,1619,1494,1470,4211938,12852730
45,1153074000,개봉1동,1457,1434,1318,1334,1337,1195,1177,1088,1203,1115,1104,995,1176,1073,1023,942,699,681,517,518,567,531,5012436,7717265
46,1130560300,번2동,772,734,688,713,725,719,580,528,584,476,477,376,600,550,535,498,357,313,258,228,206,226,2260866,3990205
47,1123054500,제기동,982,981,1043,872,949,803,789,645,942,742,948,726,1324,940,1008,1004,433,417,308,288,278,295,4496084,5261245
