,gid,행정동코드,시군구명,행정동,학교명,학교개수,초등학생_인구,30대_인구,40대_인구,전체_인구,경도,위도,geometry,돌봄 틈새공백 인구,지역별 돌봄 틈새공백 인구 비율,돌봄틈새공백 분위
0,다사58aa55aa,1129070500,성북구,종암동,['서울개운초등학교' '서울숭례초등학교' '성신초등학교' '매원초등학교'],4,0.0,0.0,0.0,0.0,127.0256501675964,37.594578984965224,POINT (127.0256501675964 37.59457898496522),0.0,0.0,1
1,다사58ab54bb,1129070500,성북구,종암동,['서울안암초등학교' '서울숭례초등학교' '성신초등학교'],3,0.0,0.0,0.0,0.0,127.02849623586006,37.59233702771123,POINT (127.0284962358601 37.59233702771123),0.0,0.0,1
2,다사58ab55aa,1129070500,성북구,종암동,['서울개운초등학교' '서울숭례초등학교' '성신초등학교' '매원초등학교'],4,0.0,0.0,0.0,0.0,127.02848201873488,37.594590332129044,POINT (127.0284820187349 37.59459033212904),0.0,0.0,1
3,다사58ab55ab,1129070500,성북구,종암동,['서울개운초등학교' '서울숭례초등학교' '성신초등학교' '매원초등학교'],4,8.0,50.0,29.0,326.0,127.02846780002605,37.596843635679825,POINT (127.028467800026 37.59684363567983),0.14226179895680438,0.017782724869600548,2
4,다사58ab55ba,1129070500,성북구,종암동,['서울개운초등학교' '서울숭례초등학교' '성신초등학교' '매원초등학교'],4,62.0,239.0,285.0,2121.0,127.0284535797334,37.59909693836355,POINT (127.0284535797334 37.59909693836355),1.1240124611255018,0.018129233243959705,5
5,다사58ab55bb,1129070500,성북구,종암동,['서울숭곡초등학교' '서울개운초등학교' '매원초등학교'],3,183.0,207.0,450.0,2329.0,127.02843935785673,37.601350240180224,POINT (127.0284393578567 37.60135024018022),3.7882252000250203,0.020700684153142187,9
6,다사58ba54bb,1129070500,성북구,종암동,['서울숭례초등학교' '성신초등학교'],2,0.0,0.0,0.0,0.0,127.03132800320434,37.59234830602257,POINT (127.0313280032043 37.59234830602257),0.0,0.0,1
7,다사58ba55aa,1129070500,성북구,종암동,['서울개운초등학교' '서울숭례초등학교' '성신초등학교'],3,12.0,69.0,57.0,430.0,127.031313871457,37.59460161135226,POINT (127.031313871457 37.59460161135226),0.25803115928538556,0.021502596607115464,3
8,다사58ba55ab,1129070500,성북구,종암동,['서울개운초등학교' '서울일신초등학교' '서울숭례초등학교' '성신초등학교'],4,170.0,284.0,412.0,2636.0,127.03129973813559,37.59685491581497,POINT (127.0312997381356 37.59685491581497),3.2938329754623936,0.019375488090955257,9
9,다사58ba55ba,1129070500,성북구,종암동,['서울개운초등학교' '서울일신초등학교' '서울숭례초등학교'],3,188.0,443.0,634.0,3386.0,127.03128560323981,37.599108219410695,POINT (127.0312856032398 37.5991082194107),4.3880888925632,0.02334089836469787,10
10,다사58ba55bb,1129070500,성북구,종암동,['서울숭곡초등학교' '서울개운초등학교' '서울일신초등학교' '서울숭례초등학교'],4,128.0,504.0,471.0,2860.0,127.03127146676952,37.60136152213939,POINT (127.0312714667695 37.60136152213939),3.20211828261806,0.025016549082953594,8
11,다사58ba56aa,1129070500,성북구,종암동,['서울숭곡초등학교' '서울개운초등학교' '서울숭인초등학교'],3,63.0,146.0,160.0,965.0,127.03125732872459,37.603614824001085,POINT (127.0312573287246 37.60361482400108),1.4659645914840684,0.023269279229905848,5
12,다사58bb54bb,1129070500,성북구,종암동,['서울홍파초등학교' '서울숭례초등학교'],2,15.0,211.0,93.0,995.0,127.03415977212254,37.5923595163987,POINT (127.0341597721225 37.5923595163987),0.33630287490812794,0.022420191660541863,3
13,다사58bb55aa,1129070500,성북구,종암동,['서울일신초등학교' '서울숭례초등학교'],2,101.0,409.0,346.0,2679.0,127.03414572575328,37.594612822634765,POINT (127.0341457257533 37.59461282263477),2.08874022182674,0.0206805962557103,8
14,다사58bb55ab,1129070500,성북구,종암동,['서울개운초등학교' '서울일신초등학교' '서울숭례초등학교'],3,81.0,253.0,299.0,2136.0,127.03413167781942,37.59686612800391,POINT (127.0341316778194 37.59686612800391),1.5360723306575819,0.018963855934044222,6
15,다사58bb55ba,1129070500,성북구,종암동,['서울개운초등학교' '서울일신초등학교' '서울숭례초등학교'],3,30.0,223.0,209.0,1942.0,127.03411762832071,37.59911943250612,POINT (127.0341176283207 37.59911943250612),0.48971633879380216,0.016323877959793405,3
16,다사58bb55bb,1129070500,성북구,종암동,['서울숭곡초등학교' '서울개운초등학교' '서울일신초등학교' '서울숭례초등학교'],4,127.0,242.0,419.0,2027.0,127.03410357725704,37.60137273614137,POINT (127.034103577257 37.60137273614137),3.0390668251318878,0.023929660040408564,8
17,다사59aa54bb,1129070500,성북구,종암동,['서울홍파초등학교' '서울일신초등학교' '서울숭례초등학교'],3,25.0,111.0,72.0,638.0,127.0369915426052,37.59237065883948,POINT (127.0369915426052 37.59237065883948),0.5262101703655756,0.021048406814623024,4
18,다사59aa55aa,1129070500,성북구,종암동,['서울일신초등학교' '서울숭례초등학교'],2,33.0,108.0,104.0,673.0,127.03697758161418,37.59462396597643,POINT (127.0369775816142 37.59462396597643),0.7628226057366129,0.02311583653747312,4
19,다사59aa55ab,1129070500,성북구,종암동,['서울일신초등학교' '서울숭례초등학교'],2,81.0,393.0,355.0,2706.0,127.03696361906806,37.59687727224653,POINT (127.0369636190681 37.59687727224653),1.6430381309896935,0.02028442137024313,7
