행정동코드,행정동,gid,추정소득 k=35,추정소득 k=5,추정소득 k=3,소득분위35,소득분위3,소득분위5
1150054000,화곡제1동,다사41ab48ba,-0.5642452017552514,-0.5374733580728005,-0.48659757328240216,4,2,2
1150054000,화곡제1동,다사41ab48bb,-0.7115913109040185,-0.7035898095871869,-0.6685184654990287,6,2,3
1150054000,화곡제1동,다사41ab49aa,-0.6428976142922566,-0.7493824062415446,-0.8141919098249116,4,6,4
1150054000,화곡제1동,다사41ba48aa,-0.7007602768931228,-0.9069917296956286,-0.887201015722974,6,7,8
1150054000,화곡제1동,다사41ba48ab,-1.0165533719878292,-1.044603120433329,-1.0080954957458388,9,10,10
1150054000,화곡제1동,다사41ba48ba,-1.0436882344688003,-1.059108129604866,-1.0544300126058799,10,10,10
1150054000,화곡제1동,다사41ba48bb,-0.784803122765289,-0.9495505679466378,-0.9461743929208017,7,9,9
1150054000,화곡제1동,다사41ba49aa,-0.20745544968799504,-0.8642687374471597,-0.8795798575723222,2,7,7
1150054000,화곡제1동,다사41bb47bb,-0.7961257875050012,-0.7430761597260868,-0.7259018544107706,7,4,4
1150054000,화곡제1동,다사41bb48aa,-0.00022216646701931988,0.526481072716696,0.5235329218733005,1,1,1
1150054000,화곡제1동,다사41bb48ab,-1.036655370597101,-0.9285782590887776,-0.892855085885128,10,8,9
1150054000,화곡제1동,다사41bb48ba,-0.6681202498642475,-0.7497789636585379,-0.7149821091100804,5,4,5
1150054000,화곡제1동,다사41bb48bb,-0.8029144549287316,-0.7533909254244632,-0.766061239815277,8,5,6
1150054000,화곡제1동,다사42aa47bb,-0.9073626480750892,-0.8374861389545372,-0.8394694421067609,9,6,6
1150054000,화곡제1동,다사42aa48aa,-0.26912611456663704,-0.4726780760438018,-0.7004121962913267,2,3,2
1150054000,화곡제1동,다사42aa48ab,-0.38947487422459504,-0.8992114143582259,-0.9071982926602175,3,9,7
1150054000,화곡제1동,다사42ab47bb,-0.14054894000992676,0.06739231692475417,0.05085701024429909,1,1,1
