,gid,행정동코드,시군구명,행정동,학교명,학교개수,초등학생_인구,30대_인구,40대_인구,전체_인구,경도,위도,geometry,돌봄 틈새공백 인구,지역별 돌봄 틈새공백 인구 비율,돌봄틈새공백 분위
0,다사45ba54ba,1138065000,수색동,은평구,['서울하늘초등학교'],1,0.0,0.0,10.0,68.0,126.88409698014472,37.58941850317279,POINT (126.8840969801447 37.58941850317279),0.0,0.0,1
1,다사45ba54bb,1138065000,수색동,은평구,['서울하늘초등학교'],1,0.0,0.0,0.0,42.0,126.88407841108867,37.591671754672554,POINT (126.8840784110887 37.59167175467255),0.0,0.0,1
2,다사45bb54ab,1138065000,수색동,은평구,['서울수색초등학교' '서울하늘초등학교'],2,0.0,51.0,24.0,255.0,126.88694705089301,37.5871799912562,POINT (126.886947050893 37.5871799912562),0.0,0.0,1
3,다사46aa54aa,1138065000,수색동,은평구,['서울수색초등학교' '서울하늘초등학교'],2,0.0,23.0,37.0,247.0,126.88979695095473,37.58494140817405,POINT (126.8897969509547 37.58494140817405),0.0,0.0,1
4,다사46aa54ab,1138065000,수색동,은평구,['서울수색초등학교' '서울하늘초등학교'],2,19.0,134.0,103.0,854.0,126.88977855671168,37.5871946637922,POINT (126.8897785567117 37.5871946637922),0.05605778259355436,0.0029504096101870716,4
5,다사46ab54aa,1138065000,수색동,은평구,['서울수색초등학교'],1,0.0,0.0,6.0,28.0,126.89262837348336,37.584956011611744,POINT (126.8926283734834 37.58495601161174),0.0,0.0,1
6,다사46ab54ab,1138065000,수색동,은평구,['서울수색초등학교'],1,0.0,0.0,0.0,20.0,126.89261006457919,37.58720926841067,POINT (126.8926100645792 37.58720926841067),0.0,0.0,1
7,다사46ba53bb,1138065000,수색동,은평구,['서울수색초등학교' '서울증산초등학교' '서울상암초등학교'],3,0.0,21.0,18.0,225.0,126.89547801958652,37.58271728829317,POINT (126.8954780195865 37.58271728829317),0.0,0.0,1
8,다사46ba54aa,1138065000,수색동,은평구,['서울수색초등학교' '서울증산초등학교'],2,0.0,0.0,0.0,15.0,126.89545979805106,37.58497054713725,POINT (126.8954597980511 37.58497054713725),0.0,0.0,1
9,다사46ba54ab,1138065000,수색동,은평구,['서울수색초등학교'],1,0.0,0.0,0.0,0.0,126.89544157448604,37.587223805111456,POINT (126.895441574486 37.58722380511146),0.0,0.0,1
