,행정동,전체세대수,1인세대,2인세대,3인이상세대,미성년자 자녀를 둔 맞벌이 추정 세대,초등학생 자녀를 둔 맞벌이 추정 세대,3인이상 세대 비율(%),미성년자 자녀를 둔 맞벌이 세대 비율(%),초등학생 자녀를 둔 맞벌이 세대 비율(%)
0,합계,4220082,1608998,867814,1743270,847229,253321,41.3,20.1,6.0
2,사직동,4414,2061,862,1491,725,217,33.8,16.4,4.9
3,삼청동,1414,721,247,446,217,65,31.5,15.3,4.6
4,부암동,4325,1623,908,1794,872,261,41.5,20.2,6.0
5,평창동,7510,2393,1601,3516,1709,511,46.8,22.8,6.8
6,무악동,3024,708,639,1677,815,244,55.5,27.0,8.1
7,교남동,4379,1577,1012,1790,870,260,40.9,19.9,5.9
8,가회동,2085,927,443,715,347,104,34.3,16.6,5.0
9,종로1.2.3.4가동,5378,4217,545,616,299,89,11.5,5.6,1.7
10,종로5·6가동,3174,2064,474,636,309,92,20.0,9.7,2.9
11,이화동,4462,2583,759,1120,544,163,25.1,12.2,3.7
12,창신1동,3050,1778,553,719,349,104,23.6,11.4,3.4
13,창신2동,4280,1959,846,1475,717,214,34.5,16.8,5.0
14,창신3동,2860,816,651,1393,677,202,48.7,23.7,7.1
15,숭인1동,3014,1306,647,1061,516,154,35.2,17.1,5.1
16,숭인2동,5620,3559,896,1165,566,169,20.7,10.1,3.0
17,청운효자동,5452,1945,1103,2404,1168,349,44.1,21.4,6.4
18,혜화동,9153,5302,1414,2437,1184,354,26.6,12.9,3.9
20,소공동,1048,576,192,280,136,41,26.7,13.0,3.9
21,회현동,3281,2240,451,590,287,86,18.0,8.7,2.6
22,명동,1435,930,218,287,139,42,20.0,9.7,2.9
23,필동,2249,1362,378,509,247,74,22.6,11.0,3.3
24,장충동,2628,1580,441,607,295,88,23.1,11.2,3.3
25,광희동,2920,1845,485,590,287,86,20.2,9.8,2.9
26,을지로동,1170,923,120,127,62,19,10.9,5.3,1.6
27,신당5동,4467,2036,906,1525,741,222,34.1,16.6,5.0
28,황학동,6205,3180,1261,1764,857,256,28.4,13.8,4.1
29,중림동,5297,2364,1111,1822,885,265,34.4,16.7,5.0
30,신당동,4368,2569,766,1033,502,150,23.6,11.5,3.4
31,다산동,6863,2913,1594,2356,1145,342,34.3,16.7,5.0
32,약수동,7819,2711,1979,3129,1521,455,40.0,19.5,5.8
33,청구동,6449,2439,1470,2540,1234,369,39.4,19.1,5.7
34,동화동,4213,1177,852,2184,1061,317,51.8,25.2,7.5
36,후암동,8502,3881,1682,2939,1428,427,34.6,16.8,5.0
37,용산2가동,5531,2736,1188,1607,781,234,29.1,14.1,4.2
38,남영동,5460,4145,628,687,334,100,12.6,6.1,1.8
39,원효로2동,6022,1960,1282,2780,1351,404,46.2,22.4,6.7
40,효창동,3892,1355,857,1680,816,244,43.2,21.0,6.3
41,용문동,5251,1783,1198,2270,1103,330,43.2,21.0,6.3
42,이촌1동,10015,2167,2154,5694,2767,827,56.9,27.6,8.3
43,이촌2동,3846,1261,997,1588,772,231,41.3,20.1,6.0
44,이태원1동,3904,2263,699,942,458,137,24.1,11.7,3.5
45,이태원2동,4920,2593,1013,1314,639,191,26.7,13.0,3.9
46,서빙고동,5301,1686,1063,2552,1240,371,48.1,23.4,7.0
47,보광동,7846,3980,1679,2187,1063,318,27.9,13.5,4.1
48,청파동,10549,5839,1931,2779,1351,404,26.3,12.8,3.8
49,원효로1동,6885,3054,1476,2355,1145,342,34.2,16.6,5.0
50,한강로동,8861,4974,1601,2286,1111,332,25.8,12.5,3.7
51,한남동,10881,5841,2272,2768,1345,402,25.4,12.4,3.7
53,왕십리2동,7598,2876,1573,3149,1530,457,41.4,20.1,6.0
54,마장동,10249,4110,2107,4032,1960,586,39.3,19.1,5.7
55,사근동,6578,4314,914,1350,656,196,20.5,10.0,3.0
56,행당1동,6251,2604,1274,2373,1153,345,38.0,18.4,5.5
57,행당2동,9439,2247,2148,5044,2451,733,53.4,26.0,7.8
58,응봉동,6245,1622,1345,3278,1593,476,52.5,25.5,7.6
59,금호1가동,5318,1670,1235,2413,1173,351,45.4,22.1,6.6
60,금호4가동,6040,2031,1406,2603,1265,378,43.1,20.9,6.3
61,성수1가1동,7564,2959,1585,3020,1468,439,39.9,19.4,5.8
62,성수1가2동,7410,3262,1517,2631,1279,382,35.5,17.3,5.2
63,성수2가1동,8638,4032,1713,2893,1406,420,33.5,16.3,4.9
64,성수2가3동,5590,2714,1056,1820,885,265,32.6,15.8,4.7
65,송정동,5491,2587,1124,1780,865,259,32.4,15.8,4.7
66,용답동,8101,4368,1484,2249,1093,327,27.8,13.5,4.0
67,왕십리도선동,11302,3946,2408,4948,2405,719,43.8,21.3,6.4
68,금호2.3가동,10215,3391,2397,4427,2152,643,43.3,21.1,6.3
69,옥수동,10873,3065,2713,5095,2476,740,46.9,22.8,6.8
71,화양동,15031,11378,1893,1760,855,256,11.7,5.7,1.7
72,군자동,10279,5341,2000,2938,1428,427,28.6,13.9,4.2
73,중곡1동,7661,3445,1764,2452,1192,356,32.0,15.6,4.6
74,중곡2동,10111,4092,2227,3792,1843,551,37.5,18.2,5.4
75,중곡3동,8326,3616,1858,2852,1386,414,34.3,16.6,5.0
76,중곡4동,13115,4548,2948,5619,2731,817,42.8,20.8,6.2
77,능동,6031,3207,1254,1570,763,228,26.0,12.7,3.8
78,구의1동,11394,5734,2277,3383,1644,492,29.7,14.4,4.3
